"2005","Num studies:1","","2006","Num studies:1","","2008","Num studies:4","","2009","Num studies:3","","2010","Num studies:1","","2011","Num studies:1","","2012","Num studies:2","","2013","Num studies:3","","2014","Num studies:2","","2015","Num studies:3","","2016","Num studies:4","","2017","Num studies:4","","2018","Num studies:4","","2019","Num studies:9","","2020","Num studies:7","","2021","Num studies:3","","2022","Num studies:3","","2023","Num studies:1","","2025","Num studies:1","","No Start Date","Num studies:2",""
"","","","","","","peptides",1,"0.11737089201877934%","","","","","","","","","","","","","use",1,"0.07358351729212656%","","","","","","","remain",1,"0.032981530343007916%","seems",1,"0.0859106529209622%","fdg-pet",1,"0.5555555555555556%","primary",2,"0.1432220397737639%","cdr",1,"0.06349206349206349%","effect",1,"0.6172839506172839%","help",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","alter",1,"0.11737089201877934%","","","","","","","","","","","","","supply",1,"0.07358351729212656%","","","","","","","hours",1,"0.032981530343007916%","predominating",1,"0.0859106529209622%","safety",1,"0.5555555555555556%","partial",2,"0.15873015873015872%","present",1,"0.0670690811535882%","persons",1,"0.6172839506172839%","maintained",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","aging",1,"0.11737089201877934%","","","","","","","","","","","","","can",1,"0.07358351729212656%","","","","","","","signs",1,"0.032981530343007916%","causal",1,"0.0859106529209622%","tolerability",1,"0.5555555555555556%","deprivation",2,"0.15873015873015872%","demonstrated",1,"0.0670690811535882%","mci",1,"0.6172839506172839%","generalized",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","mechanisms",1,"0.11737089201877934%","","","","","","","","","","","","","cover",1,"0.07358351729212656%","","","","","","","symptoms",1,"0.032981530343007916%","model",1,"0.0859106529209622%","pharmacokinetics",1,"0.5555555555555556%","awake",2,"0.15873015873015872%","systemic",1,"0.0670690811535882%","ad",1,"0.6172839506172839%","depending",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","symptoms",1,"0.11737089201877934%","","","","","","","","","","","","","hypoglycemic",1,"0.07358351729212656%","","","","","","","significant",1,"0.032981530343007916%","based",1,"0.0859106529209622%","agn-242071",1,"0.5555555555555556%","actigraphy",2,"0.15873015873015872%","dysfunction",1,"0.0670690811535882%","biomarkers",1,"0.6172839506172839%","either",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","possibly",1,"0.11737089201877934%","","","","","","","","","","","","","reaction",1,"0.07358351729212656%","","","","","","","abate",1,"0.032981530343007916%","hypothesis",1,"0.0859106529209622%","stable",1,"0.5555555555555556%","learn",2,"0.30441400304414%","involved",1,"0.0670690811535882%","target",1,"0.6172839506172839%","0",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","its",1,"0.11737089201877934%","","","","","","","","","","","","","oriented",1,"0.07358351729212656%","","","","","","","followed",1,"0.032981530343007916%","posits",1,"0.0859106529209622%","dose",1,"0.5555555555555556%","ptsd",2,"0.30441400304414%","pathogenesis",1,"0.0670690811535882%","engagement",1,"0.6172839506172839%","trained",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","pathology",1,"0.11737089201877934%","","","","","","","","","","","","","location",1,"0.07358351729212656%","","","","","","","telephone",1,"0.032981530343007916%","deposition",1,"0.0859106529209622%","10",1,"0.5555555555555556%","traumatic",2,"0.30441400304414%","results",1,"0.0670690811535882%","immune",1,"0.6172839506172839%","power",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","pilot",1,"0.11737089201877934%","","","","","","","","","","","","","instructed",1,"0.07358351729212656%","","","","","","","interviews",1,"0.032981530343007916%","causes",1,"0.0859106529209622%","mg",1,"0.5555555555555556%","injury",2,"0.30441400304414%","implied",1,"0.0670690811535882%","response",1,"0.6172839506172839%","point",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","behavioral",1,"0.11737089201877934%","","","","","","","","","","","","","park",1,"0.07358351729212656%","","","","","","","monthly",1,"0.032981530343007916%","synaptic",1,"0.0859106529209622%","donepezil",1,"0.5555555555555556%","life",2,"0.21606396193075456%","inflammation-associated",1,"0.0670690811535882%","amyloid-b",1,"0.6172839506172839%","presentation",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","mild-to-moderate",1,"0.11737089201877934%","","","","","","","","","","","","","go",1,"0.07358351729212656%","","","","","","","assess",1,"0.032981530343007916%","dysfunction",1,"0.0859106529209622%","without",1,"0.5555555555555556%","aims",2,"0.1001001001001001%","provide",1,"0.0670690811535882%","tau",1,"0.6172839506172839%","used",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","design",1,"0.11737089201877934%","","","","","","","","","","","","","when",1,"0.07358351729212656%","","","","","","","events",1,"0.032981530343007916%","resulting",1,"0.0859106529209622%","memantine",1,"0.5555555555555556%","if",2,"0.0696809884089036%","novel",1,"0.0670690811535882%","neurodegeneration",1,"0.6172839506172839%","display",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","clinical",1,"0.11737089201877934%","","","","","","","","","","","","","arrive",1,"0.07358351729212656%","","","","","","","develop",1,"0.032981530343007916%","early",1,"0.0859106529209622%","standard",1,"0.5555555555555556%","e",2,"0.1001001001001001%","strategies",1,"0.0670690811535882%","csf",1,"0.6172839506172839%","each",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","trial",1,"0.11737089201877934%","","","","","","","","","","","","","3",1,"0.07358351729212656%","","","","","","","new",1,"0.032981530343007916%","memory",1,"0.0859106529209622%","missions",1,"0.04681647940074907%","approaches",2,"0.513013013013013%","combating",1,"0.0670690811535882%","functional",1,"0.6172839506172839%","implement",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","mild-moderate",1,"0.11737089201877934%","","","","","","","","","","","","","pre-therapy",1,"0.07358351729212656%","","","","","","","last",1,"0.032981530343007916%","deficits",1,"0.0859106529209622%","memory",1,"0.04681647940074907%","delay",2,"0.1001001001001001%","was",1,"0.0670690811535882%","connectivity",1,"0.6172839506172839%","ipad",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","defined",1,"0.11737089201877934%","","","","","","","","","","","","","-",1,"0.07358351729212656%","","","","","","","experience",1,"0.032981530343007916%","progression",1,"0.0859106529209622%","resources",1,"0.04681647940074907%","decline",2,"0.1001001001001001%","designed",1,"0.0670690811535882%","eeg",1,"0.6172839506172839%","answer",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","exam",1,"0.11737089201877934%","","","","","","","","","","","","","25",1,"0.07358351729212656%","","","","","","","several",1,"0.032981530343007916%","mild",1,"0.0859106529209622%","center",1,"0.04681647940074907%","likely",2,"0.1001001001001001%","addition",1,"0.0670690811535882%","cognition",1,"0.6172839506172839%","any",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","10-27",1,"0.11737089201877934%","","","","","","","","","","","","","occur",1,"0.07358351729212656%","","","","","","","down-titrations",1,"0.032981530343007916%","cognitive",1,"0.0859106529209622%","cmrr",1,"0.04681647940074907%","due",2,"0.1001001001001001%","cholinesterase",1,"0.0670690811535882%","objectives",1,"0.6172839506172839%","specific",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","established",1,"0.11737089201877934%","","","","","","","","","","","","","basis",1,"0.07358351729212656%","","","","","","","3-months",1,"0.032981530343007916%","impairment",1,"0.0859106529209622%","establish",1,"0.04681647940074907%","hypothesize",2,"0.1001001001001001%","inhibitors",1,"0.0670690811535882%","include",1,"0.6172839506172839%","questions",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","nincds",1,"0.11737089201877934%","","","","","","","","","","","","","6",1,"0.07358351729212656%","","","","","","","clinical",1,"0.032981530343007916%","mci",1,"0.0859106529209622%","expertise",1,"0.04681647940074907%","tolerate",2,"0.1001001001001001%","donepezil",1,"0.0670690811535882%","primary",1,"0.11614401858304298%","might",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","diagnostic",1,"0.11737089201877934%","","","","","","","","","","","","","months",1,"0.07358351729212656%","","","","","","","examination",1,"0.032981530343007916%","has",1,"0.0859106529209622%","amestic",1,"0.04681647940074907%","result",2,"0.1139070104587346%","rivastigmine",1,"0.0670690811535882%","objective",1,"0.11614401858304298%","come",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","criteria",1,"0.11737089201877934%","","","","","","","","","","","","","assessments",1,"0.07358351729212656%","","","","","","","routine",1,"0.032981530343007916%","also",1,"0.0859106529209622%","language",1,"0.04681647940074907%","cognition",2,"0.1001001001001001%","galantamine",1,"0.0670690811535882%","demonstrate",1,"0.11614401858304298%","up",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","stable",1,"0.11737089201877934%","","","","","","","","","","","","","completed",1,"0.07358351729212656%","","","","","","","laboratory",1,"0.032981530343007916%","gained",1,"0.0859106529209622%","behavioral",1,"0.04681647940074907%","other",2,"0.1001001001001001%","previously",1,"0.0670690811535882%","efficacy",1,"0.11614401858304298%","before",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","enhancing",1,"0.11737089201877934%","","","","","","","","","","","","","cdt",1,"0.07358351729212656%","","","","","","","termination",1,"0.032981530343007916%","interest",1,"0.0859106529209622%","complaint",1,"0.04681647940074907%","functioning",2,"0.1001001001001001%","shown",1,"0.0670690811535882%","positron",1,"0.11614401858304298%","starting",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","medications",1,"0.11737089201877934%","","","","","","","","","","","","","qols",1,"0.07358351729212656%","","","","","","","subjects",1,"0.032981530343007916%","pathology",1,"0.0859106529209622%","thanks",1,"0.04681647940074907%","than",2,"0.1001001001001001%","some",1,"0.0670690811535882%","emission",1,"0.11614401858304298%","app",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","cholinesterase",1,"0.11737089201877934%","","","","","","","","","","","","","cgi",1,"0.07358351729212656%","","","","","","","return",1,"0.032981530343007916%","feature",1,"0.0859106529209622%","dosage",1,"0.04681647940074907%","apoe",2,"0.1001001001001001%","stress-related",1,"0.0670690811535882%","tomography",1,"0.11614401858304298%","remind",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","inhibitor",1,"0.11737089201877934%","","","","","","","","","","","","","also",1,"0.07358351729212656%","","","","","","","original",1,"0.032981530343007916%","biomarker",1,"0.0859106529209622%","cererbrospinal",1,"0.04681647940074907%","response",2,"0.0696809884089036%","diseases",1,"0.0670690811535882%","radioactive",1,"0.11614401858304298%","also",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","nmda",1,"0.11737089201877934%","","","","","","","","","","","","","treatments",1,"0.07358351729212656%","","","","","","","investigator",1,"0.032981530343007916%","target",1,"0.0859106529209622%","fluid",1,"0.04681647940074907%","individuals",2,"0.0696809884089036%","anxiety",1,"0.0670690811535882%","compound",1,"0.11614401858304298%","include",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","receptor",1,"0.11737089201877934%","","","","","","","","","","","","","basal",1,"0.07358351729212656%","","","","","","","decide",1,"0.032981530343007916%","there",1,"0.0859106529209622%","csf",1,"0.04681647940074907%","adhere",2,"0.1001001001001001%","autism",1,"0.0670690811535882%","cte",1,"0.11614401858304298%","should",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","antagonist",1,"0.11737089201877934%","","","","","","","","","","","","","c",1,"0.07358351729212656%","","","","","","","discontinue",1,"0.032981530343007916%","are",1,"0.0859106529209622%","currently",1,"0.04681647940074907%","who",2,"0.1139070104587346%","depression",1,"0.0670690811535882%","predict",1,"0.11614401858304298%","described",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","screening",1,"0.11737089201877934%","","","","","","","","","","","","","measurements",1,"0.07358351729212656%","","","","","","","down-titration",1,"0.032981530343007916%","no",1,"0.0859106529209622%","possible",1,"0.04681647940074907%","neuropsychological",2,"0.1001001001001001%","schizophrenia",1,"0.0670690811535882%","investigators",1,"0.11614401858304298%","steps",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","institutional",1,"0.11737089201877934%","","","","","","","","","","","","","pre",1,"0.07358351729212656%","","","","","","","prestudy",1,"0.032981530343007916%","curative",1,"0.0859106529209622%","underlying",1,"0.04681647940074907%","very",2,"0.03926187671770711%","might",1,"0.0670690811535882%","enroll",1,"0.11614401858304298%","below",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","board",1,"0.11737089201877934%","","","","","","","","","","","","","collected",1,"0.07358351729212656%","","","","","","","whatever",1,"0.032981530343007916%","preventive",1,"0.0859106529209622%","vivo",1,"0.04681647940074907%","research",2,"0.0834878987675381%","regulating",1,"0.0670690811535882%","approximately",1,"0.11614401858304298%","being",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","approval",1,"0.11737089201877934%","","","","","","","","","","","","","mid",1,"0.07358351729212656%","","","","","","","decision",1,"0.032981530343007916%","measures",1,"0.0859106529209622%","pathological",1,"0.04681647940074907%","attenuated",2,"0.03926187671770711%","although",1,"0.0670690811535882%","180",1,"0.11614401858304298%","words",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","chart",1,"0.11737089201877934%","","","","","","","","","","","","","16",1,"0.07358351729212656%","","","","","","","ordinarily",1,"0.032981530343007916%","abnormal",1,"0.0859106529209622%","amyloid",1,"0.04681647940074907%","oxygenation",2,"0.03926187671770711%","recent",1,"0.0670690811535882%","mild",1,"0.11614401858304298%","objects",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","discussion",1,"0.11737089201877934%","","","","","","","","","","","","","post",1,"0.07358351729212656%","","","","","","","treated",1,"0.032981530343007916%","elevation",1,"0.0859106529209622%","tau",1,"0.04681647940074907%","pathogenesis",2,"0.03926187671770711%","indicated",1,"0.0670690811535882%","head",1,"0.11614401858304298%","focus",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","carried",1,"0.11737089201877934%","","","","","","","","","","","","","29",1,"0.07358351729212656%","","","","","","","7",1,"0.032981530343007916%","blood",1,"0.0859106529209622%","profile",1,"0.04681647940074907%","increase",2,"0.03926187671770711%","mix-probiotics",1,"0.0670690811535882%","trauma",1,"0.11614401858304298%","unique",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","non-physician",1,"0.11737089201877934%","","","","","","","","","","","","","post-therapy",1,"0.07358351729212656%","","","","","","","primary",1,"0.32051282051282054%","microvascular",1,"0.0859106529209622%","these",1,"0.04681647940074907%","alzheimers",2,"0.03926187671770711%","containing",1,"0.0670690811535882%","come",1,"0.11614401858304298%","characteristic",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","member",1,"0.11737089201877934%","","","","","","","","","","","","","30",1,"0.07358351729212656%","","","","","","","doses",1,"0.32051282051282054%","macrovascular",1,"0.0859106529209622%","very",1,"0.04681647940074907%","mci",2,"0.03926187671770711%","acidophilus",1,"0.0670690811535882%","ucla",1,"0.11614401858304298%","afterwards",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","team",1,"0.11737089201877934%","","","","","","","","","","","","","final",1,"0.07358351729212656%","","","","","","","subcutaneously",1,"0.32051282051282054%","complications",1,"0.0859106529209622%","sensitive",1,"0.04681647940074907%","antioxidant",2,"0.03926187671770711%","casei",1,"0.0670690811535882%","4",1,"0.11614401858304298%","another",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","screened",1,"0.11737089201877934%","","","","","","","","","","","","","psychopharmacology",1,"0.07358351729212656%","","","","","","","sc",1,"0.32051282051282054%","cerebrovascular",1,"0.0859106529209622%","clinicians",1,"0.04681647940074907%","thus",2,"0.03926187671770711%","bifidobacteria",1,"0.0670690811535882%","twice",1,"0.11614401858304298%","containing",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","until",1,"0.11737089201877934%","","","","","","","","","","","","","within",1,"0.07358351729212656%","","","","","","","established",1,"0.32051282051282054%","many",1,"0.0859106529209622%","need",1,"0.04681647940074907%","metabolic",2,"0.03926187671770711%","bifidum",1,"0.0670690811535882%","over",1,"0.11614401858304298%","previously",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","25",1,"0.11737089201877934%","","","","","","","","","","","","","completing",1,"0.07358351729212656%","","","","","","","cortical",1,"0.32051282051282054%","reported",1,"0.0859106529209622%","perform",1,"0.04681647940074907%","like",2,"0.03926187671770711%","fermentum",1,"0.0670690811535882%","eligibility",1,"0.11614401858304298%","studied",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","arm",1,"0.11737089201877934%","","","","","","","","","","","","","last",1,"0.07358351729212656%","","","","","","","amyloid",1,"0.32051282051282054%","most",1,"0.0859106529209622%","lumbar",1,"0.04681647940074907%","pathology",2,"0.48259390132181657%","whether",1,"0.0670690811535882%","pass",1,"0.11614401858304298%","old",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","process",1,"0.05924170616113744%","","","","","","","","","","","","","aim",1,"0.7246376811594203%","","","","","","","load",1,"0.32051282051282054%","both",1,"0.0859106529209622%","puncture",1,"0.04681647940074907%","cerebral",2,"0.03926187671770711%","genmont",1,"0.0670690811535882%","invited",1,"0.11614401858304298%","unstudied",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","apoptosis",1,"0.05924170616113744%","","","","","","","","","","","","","investigate",1,"0.7246376811594203%","","","","","","","impairment",1,"0.32051282051282054%","stronger",1,"0.0859106529209622%","exam",1,"0.04681647940074907%","hypoperfusion",2,"0.03926187671770711%","specific",1,"0.0670690811535882%","in-person",1,"0.11614401858304298%","new",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","results",1,"0.05924170616113744%","","","","","","","","","","","","","whether",1,"0.7246376811594203%","","","","","","","mci",1,"0.32051282051282054%","thus",1,"0.0859106529209622%","easy",1,"0.04681647940074907%","damage",2,"0.03926187671770711%","strain",1,"0.0670690811535882%","sign",1,"0.11614401858304298%","recognize",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","mrna-expression",1,"0.05924170616113744%","","","","","","","","","","","","","anodal",1,"0.7246376811594203%","","","","","","","due",1,"0.32051282051282054%","focuses",1,"0.0859106529209622%","reproducible",1,"0.04681647940074907%","impaired",2,"0.03926187671770711%","syndromes",1,"0.0670690811535882%","neurological",1,"0.11614401858304298%","item",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","thus",1,"0.05924170616113744%","","","","","","","","","","","","","transcranial",1,"0.7246376811594203%","","","","","","","alzheimer",1,"0.32051282051282054%","relation",1,"0.0859106529209622%","image",1,"0.04681647940074907%","levels",2,"0.03926187671770711%","delay",1,"0.0670690811535882%","within",1,"0.11614401858304298%","previous",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","pattern",1,"0.05924170616113744%","","","","","","","","","","","","","direct",1,"0.7246376811594203%","","","","","","","disease",1,"0.32051282051282054%","elevated",1,"0.0859106529209622%","negative",1,"0.04681647940074907%","no",2,"0.03926187671770711%","worsens",1,"0.0670690811535882%","month",1,"0.11614401858304298%","respond",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","several",1,"0.05924170616113744%","","","","","","","","","","","","","current",1,"0.7246376811594203%","","","","","","","secondary",1,"0.32051282051282054%","","","","despite",1,"0.04681647940074907%","important",2,"0.03926187671770711%","clarified",1,"0.0670690811535882%","magnetic",1,"0.11614401858304298%","yes",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","open",1,"0.05924170616113744%","","","","","","","","","","","","","stimulation",1,"0.7246376811594203%","","","","","","","evaluate",1,"0.32051282051282054%","","","","advances",1,"0.04681647940074907%","measured",2,"0.0834878987675381%","double-blind",1,"0.0670690811535882%","resonance",1,"0.11614401858304298%","only",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","angle",1,"0.05924170616113744%","","","","","","","","","","","","","tdcs",1,"0.7246376811594203%","","","","","","","explore",1,"0.32051282051282054%","","","","materials",1,"0.04681647940074907%","help",2,"0.0834878987675381%","placebo-controlled",1,"0.0670690811535882%","eligible",1,"0.11614401858304298%","absolutely",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","analyzed",1,"0.05924170616113744%","","","","","","","","","","","","","primary",1,"0.7246376811594203%","","","","","","","performance",1,"0.32051282051282054%","","","","within",1,"0.04681647940074907%","consumption",2,"0.03926187671770711%","trial",1,"0.0670690811535882%","are",1,"0.11614401858304298%","sure",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","techniques",1,"0.05924170616113744%","","","","","","","","","","","","","cortex",1,"0.7246376811594203%","","","","","","","collect",1,"0.32051282051282054%","","","","department",1,"0.04681647940074907%","brachial",2,"0.03926187671770711%","would",1,"0.0670690811535882%","unable",1,"0.11614401858304298%","then",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","western-blot",1,"0.05924170616113744%","","","","","","","","","","","","","m1",1,"0.7246376811594203%","","","","","","","biospecimens",1,"0.32051282051282054%","","","","neurology",1,"0.04681647940074907%","flow-mediated",2,"0.03926187671770711%","carried",1,"0.0670690811535882%","contraindications",1,"0.11614401858304298%","provided",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","tandem",1,"0.05924170616113744%","","","","","","","","","","","","","dementia",1,"0.7246376811594203%","","","","","","","biomarker",1,"0.32051282051282054%","","","","recommendations",1,"0.04681647940074907%","online",2,"0.1277139208173691%","out",1,"0.0670690811535882%","ct",1,"0.11614401858304298%","real-world",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","mass",1,"0.05924170616113744%","","","","","","","","","","","","","type",1,"0.7246376811594203%","","","","","","","research",1,"0.32051282051282054%","","","","haute",1,"0.04681647940074907%","heart-focused",2,"0.1277139208173691%","additive",1,"0.0670690811535882%","possible",1,"0.11614401858304298%","examples",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","spectrometry",1,"0.05924170616113744%","","","","","","","","","","","","","dat",1,"0.7246376811594203%","","","","","","","total",1,"0.32051282051282054%","","","","autorité",1,"0.04681647940074907%","over",2,"0.1277139208173691%","multi-strain",1,"0.0670690811535882%","following",1,"0.11614401858304298%","practice",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","addition",1,"0.05924170616113744%","","","","","","","","","","","","","leads",1,"0.7246376811594203%","","","","","","","duration",1,"0.32051282051282054%","","","","de",1,"0.04681647940074907%","two",2,"0.1277139208173691%","supplement",1,"0.0670690811535882%","procedures",1,"0.11614401858304298%","generalizing",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","they",1,"0.05924170616113744%","","","","","","","","","","","","","increase",1,"0.7246376811594203%","","","","","","","per",1,"0.32051282051282054%","","","","santé",1,"0.04681647940074907%","person",2,"0.1277139208173691%","wismeno",1,"0.0670690811535882%","24",1,"0.11614401858304298%","what",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","since",1,"0.05924170616113744%","","","","","","","","","","","","","cortical",1,"0.7246376811594203%","","","","","","","28",1,"0.32051282051282054%","","","","adults",1,"0.04681647940074907%","burden",2,"0.1277139208173691%","while",1,"0.0670690811535882%","hours",1,"0.11614401858304298%","learned",1,"0.061842918985776124%","","","","","","","","",""
"","","","","","","neurodegenerative",1,"0.05924170616113744%","","","","","","","","","","","","","plasticity",1,"0.7246376811594203%","","","","","","","body",1,"0.13440860215053763%","","","","transdermal",1,"0.04681647940074907%","current",1,"0.01532567049808429%","placebo",1,"0.0670690811535882%","weeks",1,"0.11614401858304298%","proposed",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","included",1,"0.05924170616113744%","","","","","","","","","","","","","change",1,"0.7246376811594203%","","","","","","","measure",1,"0.13440860215053763%","","","","device",1,"0.04681647940074907%","conducted",1,"0.01532567049808429%","supplementation",1,"0.0670690811535882%","potential",1,"0.11614401858304298%","assess",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","positive",1,"0.05924170616113744%","","","","","","","","","","","","","evoked",1,"0.7246376811594203%","","","","","","","different",1,"0.13440860215053763%","","","","lidocaine-pilocaine",1,"0.04681647940074907%","sponsor",1,"0.01532567049808429%","emotional",1,"0.0670690811535882%","participants'",1,"0.11614401858304298%","epct",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","hypothesis",1,"0.05924170616113744%","","","","","","","","","","","","","potentials",1,"0.7246376811594203%","","","","","","","fuels",1,"0.13440860215053763%","","","","type",1,"0.04681647940074907%","subcutaneously",1,"0.01532567049808429%","identify",1,"0.050658561296859174%","reviewed",1,"0.11614401858304298%","among",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","concerning",1,"0.05924170616113744%","","","","","","","","","","","","","mep",1,"0.7246376811594203%","","","","","","","radioactive",1,"0.13440860215053763%","","","","120",1,"0.04681647940074907%","inhibit",1,"0.01532567049808429%","direct",1,"0.050658561296859174%","time",1,"0.11614401858304298%","support",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","correspond",1,"0.05924170616113744%","","","","","","","","","","","","","mv",1,"0.7246376811594203%","","","","","","","used",1,"0.13440860215053763%","","","","minutes",1,"0.04681647940074907%","neurotoxicity",1,"0.01532567049808429%","comparisons",1,"0.050658561296859174%","neuropsychiatric",1,"0.11614401858304298%","independently",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","specific",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","called",1,"0.13440860215053763%","","","","equimolar",1,"0.04681647940074907%","apoptosis",1,"0.01532567049808429%","potential",1,"0.050658561296859174%","prediction",1,"0.11614401858304298%","owned",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","aims",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","11c",1,"0.13440860215053763%","","","","oxygen-nitrous",1,"0.04681647940074907%","induced",1,"0.01532567049808429%","candidates",1,"0.050658561296859174%","from",1,"0.11614401858304298%","operated",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","characterization",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","acetoacetate",1,"0.13440860215053763%","","","","oxide",1,"0.04681647940074907%","stem",1,"0.01532567049808429%","demonstration",1,"0.050658561296859174%","readers",1,"0.11614401858304298%","unaffiliated",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","human",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","acac",1,"0.13440860215053763%","","","","meopa",1,"0.04681647940074907%","mimicking",1,"0.01532567049808429%","candidates'",1,"0.050658561296859174%","evaluations",1,"0.11614401858304298%","academic",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","indicate",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","18f",1,"0.13440860215053763%","","","","mixture",1,"0.04681647940074907%","extra-telomeric",1,"0.01532567049808429%","open",1,"0.050658561296859174%","clinicians",1,"0.11614401858304298%","medical",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","close",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","fludeoxyglucose",1,"0.13440860215053763%","","","","added",1,"0.04681647940074907%","functions",1,"0.01532567049808429%","label",1,"0.050658561296859174%","results",1,"0.11614401858304298%","center",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","conditions",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","fdg",1,"0.13440860215053763%","","","","dedicated",1,"0.04681647940074907%","human",1,"0.01532567049808429%","radioligands",1,"0.050658561296859174%","actual",1,"0.11614401858304298%","we",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","was",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","similar",1,"0.13440860215053763%","","","","until",1,"0.04681647940074907%","telomerase",1,"0.01532567049808429%","demonstrate",1,"0.050658561296859174%","outcomes",1,"0.11614401858304298%","developed",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","detected",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","already",1,"0.13440860215053763%","","","","techniques",1,"0.04681647940074907%","reverse",1,"0.01532567049808429%","radioligands'",1,"0.050658561296859174%","determined",1,"0.11614401858304298%","multicomponent",1,"0.2178649237472767%","","","","","","","","",""
