"2001","Num studies:1","","2002","Num studies:1","","2005","Num studies:2","","2007","Num studies:5","","2009","Num studies:3","","2010","Num studies:2","","2012","Num studies:5","","2013","Num studies:2","","2014","Num studies:6","","2015","Num studies:8","","2016","Num studies:20","","2017","Num studies:18","","2018","Num studies:48","","2019","Num studies:59","","2020","Num studies:85","","2021","Num studies:159","","2022","Num studies:133","","2023","Num studies:1",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","comorbid",1,"0.009218289085545723%","harmonized",1,"0.010934937124111536%","uygur",1,"0.004084967320261438%","received",3,"0.0025881926650619873%","scientific",2,"0.0018297232750435%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","disorder",1,"0.009218289085545723%","self",1,"0.010934937124111536%","ingredients",1,"0.004084967320261438%","deprescribing",3,"0.008984725965858042%","penn",2,"0.009934014767789483%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mdd",1,"0.009218289085545723%","rated",1,"0.010934937124111536%","antioxidant",1,"0.004084967320261438%","appalachian",3,"0.008984725965858042%","tauopathy",2,"0.002971856518767274%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","unable",1,"0.009218289085545723%","endophenotypes",1,"0.010934937124111536%","rats",1,"0.004084967320261438%","supplementation",3,"0.0030530622214080725%","tdp-43",2,"0.002971856518767274%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tolerate",1,"0.009218289085545723%","proposes",1,"0.010934937124111536%","inhibition",1,"0.004084967320261438%","bhb",3,"0.0030530622214080725%","written",2,"0.0036280356646489374%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stimulate",1,"0.009218289085545723%","memento",1,"0.010934937124111536%","57",1,"0.004084967320261438%","vibrating",3,"0.002718721113588168%","mutation",2,"0.002971856518767274%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","deeper",1,"0.009218289085545723%","hyperexcitability",1,"0.005885122410546139%","temporarily",1,"0.004084967320261438%","30-60",3,"0.002718721113588168%","ftld-tdp",2,"0.002971856518767274%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","left",1,"0.009218289085545723%","antiepileptic",1,"0.005885122410546139%","glutamic",1,"0.004084967320261438%","oscillations",3,"0.002718721113588168%","projected",2,"0.0033846143685960623%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dorsolateral",1,"0.009218289085545723%","normalizes",1,"0.005885122410546139%","oxaloacetic",1,"0.004084967320261438%","minor",3,"0.0055008526321579845%","hertz",2,"0.005276348766653475%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","prefrontal",1,"0.009218289085545723%","low-dose",1,"0.005885122410546139%","transaminase",1,"0.004084967320261438%","medico-economic",2,"0.007751831267707936%","electroencephalogram",2,"0.005276348766653475%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cortex",1,"0.009218289085545723%","high-dose",1,"0.005885122410546139%","creatine",1,"0.004084967320261438%","coffee",2,"0.00660300430285096%","hc",2,"0.005276348766653475%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dlpfc",1,"0.009218289085545723%","500mg",1,"0.005885122410546139%","kinase",1,"0.004084967320261438%","whose",2,"0.007604171157318924%","low-level",2,"0.005276348766653475%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tolerable",1,"0.009218289085545723%","demographically",1,"0.005885122410546139%","dehydrogenase",1,"0.004084967320261438%","discovered",2,"0.0033319979411623618%","rhythmic",2,"0.005276348766653475%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","h1-coil",1,"0.009218289085545723%","norm",1,"0.005885122410546139%","self-recovery",1,"0.004084967320261438%","activates",2,"0.0028522939574152513%","entrainment",2,"0.00455623484059235%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tolerated",1,"0.009218289085545723%","density",1,"0.005885122410546139%","adas-cog",1,"0.004042854255104104%","antioxidant",2,"0.0028522939574152513%","adaptation",2,"0.0063420152663224046%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28",1,"0.009218289085545723%","ambulatory",1,"0.005885122410546139%","histone",1,"0.004042854255104104%","mitochondria",2,"0.0028522939574152513%","participants'",2,"0.004343117012007282%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","consecutive",1,"0.009218289085545723%","electromyogram",1,"0.005885122410546139%","deacetylase",1,"0.004042854255104104%","autophagy",2,"0.0028522939574152513%","00",2,"0.003983218568028205%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","symptom",1,"0.009218289085545723%","emg",1,"0.005885122410546139%","cardinal",1,"0.0016160310277957338%","prognostic",2,"0.014261469787076255%","separated",2,"0.009411865367544037%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","montogmery-asberg",1,"0.009218289085545723%","500",1,"0.005885122410546139%","enormous",1,"0.0016160310277957338%","permuted",2,"0.0017121546265521292%","beyond",2,"0.0035890010576337494%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","madrs",1,"0.009218289085545723%","assignments",1,"0.005885122410546139%","distress",1,"0.0016160310277957338%","supporting",2,"0.006711279899800591%","promising",2,"0.002937608274491028%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","validated",1,"0.009218289085545723%","counterbalanced",1,"0.005885122410546139%","lacking",1,"0.0016160310277957338%","integrating",2,"0.003215900501400138%","spectrum",2,"0.005154512453071186%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","theta-burst",1,"0.009218289085545723%","washout",1,"0.005885122410546139%","demonstrating",1,"0.0016160310277957338%","facing",2,"0.003215900501400138%","ad-related",2,"0.002675728467075161%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","milder",1,"0.009218289085545723%","initiation",1,"0.005885122410546139%","constraint",1,"0.0016160310277957338%","relief",2,"0.003732527107478118%","widespread",2,"0.002379248858534977%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","intracranial",1,"0.003591954022988506%","repeated",1,"0.005885122410546139%","state-of-the-art",1,"0.0016160310277957338%","consultations",2,"0.0022941076473513467%","neuromodulation",2,"0.002675728467075161%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hemorrhage",1,"0.003591954022988506%","tms-emg-eeg",1,"0.005885122410546139%","causing",1,"0.0016160310277957338%","perceptions",2,"0.0037052425525988916%","controllability",2,"0.002675728467075161%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","consists",1,"0.003591954022988506%","robust",1,"0.00760051683514479%","suppression",1,"0.0016160310277957338%","transform",2,"0.0034625346644244974%","syndromes",2,"0.0023297899581393223%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","quarter",1,"0.003591954022988506%","psychometrics",1,"0.00760051683514479%","introduced",1,"0.0016160310277957338%","hybrid",2,"0.00384403342043737%","practical",2,"0.0027364261868943643%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stroke",1,"0.003591954022988506%","practiced",1,"0.00760051683514479%","1980s",1,"0.0016160310277957338%","surrogate",2,"0.003732527107478118%","inability",2,"0.004581782346247793%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","subtype",1,"0.003591954022988506%","deployed",1,"0.00760051683514479%","extensively",1,"0.0016160310277957338%","external",2,"0.0023094847077982997%","validation",2,"0.00485144136827659%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","angiopathy",1,"0.003591954022988506%","contrasts",1,"0.00760051683514479%","disrupt",1,"0.0016160310277957338%","consultants",2,"0.003732527107478118%","passive",2,"0.003489000924585245%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","etiology",1,"0.003591954022988506%","validating",1,"0.00760051683514479%","operations",1,"0.0016160310277957338%","consults",2,"0.003215900501400138%","quick",2,"0.003489000924585245%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","neurologists",1,"0.003591954022988506%","sharply",1,"0.00760051683514479%","positioned",1,"0.0016160310277957338%","stepped",2,"0.003215900501400138%","notes",2,"0.0020882954779524853%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radiologists",1,"0.003591954022988506%","attenuated",1,"0.00760051683514479%","begins",1,"0.0016160310277957338%","wedge",2,"0.003215900501400138%","faces",2,"0.005674563767910343%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","nuclear",1,"0.003591954022988506%","prone",1,"0.00760051683514479%","capacitor",1,"0.0016160310277957338%","maryland",2,"0.004904576682290087%","friends",2,"0.005674563767910343%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","physicians",1,"0.003591954022988506%","ceiling",1,"0.00760051683514479%","circular",1,"0.0016160310277957338%","640",2,"0.003732527107478118%","deeply",2,"0.004542224512635717%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","since",1,"0.003591954022988506%","limits",1,"0.00760051683514479%","generates",1,"0.0016160310277957338%","arizona",2,"0.0165508109897385%","smartwatch",2,"0.005674563767910343%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vasculatures",1,"0.003591954022988506%","innovative",1,"0.00760051683514479%","tesla",1,"0.0016160310277957338%","statewide",2,"0.0165508109897385%","reminder",2,"0.005674563767910343%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","disrupts",1,"0.003591954022988506%","400",1,"0.00760051683514479%","electricity",1,"0.0016160310277957338%","adc",2,"0.0165508109897385%","interactions",2,"0.003842468647655867%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bleeding",1,"0.003591954022988506%","non-cognitively",1,"0.00760051683514479%","quite",1,"0.0016160310277957338%","discovery",2,"0.009138136383223246%","qualitative",2,"0.004542224512635717%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","requires",1,"0.003591954022988506%","instruments",1,"0.00760051683514479%","rapidly",1,"0.0016160310277957338%","ad-linked",2,"0.003563347408555597%","dlb",2,"0.013081484198300629%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","evidences",1,"0.003591954022988506%","ecologically",1,"0.00760051683514479%","passes",1,"0.0016160310277957338%","firebalz",2,"0.003563347408555597%","build",2,"0.0110302494203423%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","arteries",1,"0.003591954022988506%","instrumental",1,"0.00760051683514479%","freely",1,"0.0016160310277957338%","160",2,"0.003563347408555597%","severely",2,"0.003989354394588259%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","caa-related",1,"0.003591954022988506%","npe",1,"0.00760051683514479%","meninges",1,"0.0016160310277957338%","french",2,"0.003563347408555597%","tdcs",2,"0.003836120914531226%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","usually",1,"0.003591954022988506%","miami",1,"0.00760051683514479%","flux",1,"0.0016160310277957338%","authority",2,"0.003563347408555597%","showed",2,"0.002261855472925476%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","subcortical",1,"0.003591954022988506%","cfas",1,"0.00760051683514479%","induces",1,"0.0016160310277957338%","neuro-ophtalmologic",2,"0.003563347408555597%","enables",2,"0.005481471354176135%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","undergoing",1,"0.003591954022988506%","properties",1,"0.00760051683514479%","electric",1,"0.0016160310277957338%","layers",2,"0.003563347408555597%","dlpfc",2,"0.003836120914531226%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","biopsy",1,"0.003591954022988506%","economy",1,"0.004884482000683828%","alters",1,"0.0016160310277957338%","optical",2,"0.003563347408555597%","hd-tcs",2,"0.003836120914531226%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","images",1,"0.003591954022988506%","accounts",1,"0.004884482000683828%","cubic",1,"0.0016160310277957338%","coherence",2,"0.003563347408555597%","33",2,"0.002923247220966309%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","swi",1,"0.003591954022988506%","misfolded",1,"0.004884482000683828%","lasting",1,"0.0016160310277957338%","univariate",2,"0.003563347408555597%","comparisons",2,"0.002261855472925476%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","precise",1,"0.003591954022988506%","clarify",1,"0.004884482000683828%","stamina",1,"0.0016160310277957338%","logistic",2,"0.003563347408555597%","follow",2,"0.004060167862530913%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","until",1,"0.003591954022988506%","molecular",1,"0.004884482000683828%","western",1,"0.0016160310277957338%","paris",2,"0.003563347408555597%","preventing",2,"0.004715188615939633%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11c-pib",1,"0.003591954022988506%","rapidly",1,"0.004884482000683828%","pyramids",1,"0.0016160310277957338%","france",2,"0.003810482793342518%","analyse",2,"0.006622530424375939%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","image",1,"0.003591954022988506%","evenly",1,"0.004884482000683828%","palm",1,"0.0016160310277957338%","sentinel",2,"0.0035836513823935207%","adiposity",2,"0.00874278720055954%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","seen",1,"0.003591954022988506%","distributed",1,"0.004884482000683828%","figural",1,"0.0016160310277957338%","document",2,"0.0031414626388578397%","field",2,"0.005971137641233216%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","nevertheless",1,"0.003591954022988506%","radioactivity",1,"0.004884482000683828%","fluency",1,"0.0016160310277957338%","scheme",2,"0.007839237398985828%","view",2,"0.005971137641233216%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","applications",1,"0.003591954022988506%","simply",1,"0.004884482000683828%","word",1,"0.0016160310277957338%","solving",2,"0.002417976521098954%","dasatinib",2,"0.006804341169666247%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","extensively",1,"0.003591954022988506%","generation",1,"0.004884482000683828%","non-word",1,"0.0016160310277957338%","hydrochloride",2,"0.0042639377465089005%","quercetin",2,"0.006804341169666247%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","addressed",1,"0.003591954022988506%","tracers",1,"0.004884482000683828%","narrative",1,"0.0016160310277957338%","schedule",2,"0.005155674727148984%","d",2,"0.006804341169666247%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","furthermore",1,"0.003591954022988506%","resolved",1,"0.004884482000683828%","stimulus",1,"0.0016160310277957338%","adcs-adl",2,"0.003736384224300529%","q",2,"0.006804341169666247%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","emerged",1,"0.003591954022988506%","recently",1,"0.004884482000683828%","naming",1,"0.0016160310277957338%","instrument",2,"0.0042639377465089005%","pre-post",2,"0.004394096309434866%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","molecular",1,"0.003591954022988506%","classifications",1,"0.004884482000683828%","contraindication",1,"0.0016160310277957338%","electrocardiogram",2,"0.005495235277586338%","senescence",2,"0.006804341169666247%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","svd",1,"0.003591954022988506%","finally",1,"0.004884482000683828%","cat",1,"0.0016160310277957338%","chemistries",2,"0.0025751900273136914%","drawn",2,"0.006965581481743646%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noninvasive",1,"0.003591954022988506%","raate",1,"0.0029787614309969915%","contrast",1,"0.0016160310277957338%","pi-2620",2,"0.0036041880665333113%","donanemab",2,"0.021482277121374866%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","correlation",1,"0.003591954022988506%","proposal",1,"0.0029787614309969915%","two-second",1,"0.0016160310277957338%","apn1607",2,"0.0036041880665333113%","76",2,"0.005632057672270564%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","investigated",1,"0.003591954022988506%","anthropometry",1,"0.0029787614309969915%","trains",1,"0.0016160310277957338%","av1451",2,"0.0036041880665333113%","communication-based",2,"0.0062138818119679366%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","immunomagnetic",1,"0.003591954022988506%","pressure",1,"0.0029787614309969915%","seconds",1,"0.0016160310277957338%","ro948",2,"0.0036041880665333113%","cst-2032",2,"0.0135473819684346%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","imr",1,"0.003591954022988506%","activation",1,"0.0029787614309969915%","inferior",1,"0.0016160310277957338%","gtp1",2,"0.0036041880665333113%","cst-107",2,"0.0135473819684346%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","assay",1,"0.003591954022988506%","volume",1,"0.0029787614309969915%","pars",1,"0.0016160310277957338%","tracers'",2,"0.004560562531556405%","matching",2,"0.01890078290757408%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bio-functionalized",1,"0.003591954022988506%","hyperintensities",1,"0.0029787614309969915%","triangularis",1,"0.0016160310277957338%","suvr",2,"0.0036041880665333113%","adi",2,"0.024254183846713556%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","nanoparticles",1,"0.003591954022988506%","steadily",1,"0.0029787614309969915%","temporal",1,"0.0016160310277957338%","florbetapir",2,"0.0036041880665333113%","gfap",2,"0.0071268217938210456%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","proved",1,"0.003591954022988506%","thereby",1,"0.0029787614309969915%","threshold",1,"0.0016160310277957338%","reading",2,"0.003190462284061497%","cytokines",2,"0.0049084550816119905%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sensitive",1,"0.003591954022988506%","constituting",1,"0.0029787614309969915%","60-90",1,"0.0016160310277957338%","probe",2,"0.007689093807870853%","immunoassay",2,"0.0071268217938210456%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","molecules",1,"0.003591954022988506%","disparity",1,"0.0029787614309969915%","anatomic",1,"0.0016160310277957338%","penetrate",2,"0.006586480172509592%","berry",2,"0.0071268217938210456%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","reflect",1,"0.010907504363001745%","achieve",1,"0.0029787614309969915%","pair",1,"0.0016160310277957338%","affinity",2,"0.012806810428935009%","fruits",2,"0.0071268217938210456%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","overnight",1,"0.010907504363001745%","proven",1,"0.0029787614309969915%","post-stroke",1,"0.0016160310277957338%","incorporating",2,"0.009122017620145952%","red",2,"0.0071268217938210456%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","nap",1,"0.010907504363001745%","mildly",1,"0.0029787614309969915%","invokes",1,"0.0016160310277957338%","northern",2,"0.002520764800040332%","wine",2,"0.0071268217938210456%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","engaged",1,"0.010907504363001745%","potent",1,"0.0029787614309969915%","use-dependent",1,"0.0016160310277957338%","manhattan",2,"0.002520764800040332%","blueberry",2,"0.0071268217938210456%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","task",1,"0.010907504363001745%","neurobiological",1,"0.0029787614309969915%","communicative",1,"0.0016160310277957338%","community-based",2,"0.0029556137143330044%","compliance",2,"0.003907205912570386%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","probes",1,"0.010907504363001745%","implicated",1,"0.0029787614309969915%","requiring",1,"0.0016160310277957338%","late-onset",2,"0.002520764800040332%","multicentre",2,"0.004502273648192337%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","declarative",1,"0.010907504363001745%","understudied",1,"0.0029787614309969915%","output",1,"0.0016160310277957338%","ethnicity",2,"0.001703603554079407%","randomised",2,"0.004502273648192337%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","engagement",1,"0.010907504363001745%","whom",1,"0.0029787614309969915%","restricting",1,"0.0016160310277957338%","disclosure",2,"0.002520764800040332%","institutions",2,"0.004502273648192337%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","motor",1,"0.010907504363001745%","perivascular",1,"0.0029787614309969915%","gestures",1,"0.0016160310277957338%","sources",2,"0.005095326409837623%","recommended",2,"0.006572284520924445%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","'overtraining'",1,"0.010907504363001745%","clearance",1,"0.0029787614309969915%","card-matching",1,"0.0016160310277957338%","incurable",2,"0.0030624764332868215%","acquired",2,"0.005307558365755194%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","manifest",1,"0.0025437525437525437%","tissue",1,"0.0029787614309969915%","modeled",1,"0.0016160310277957338%","run",2,"0.006545515321113133%","programme",2,"0.008218436024478075%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","seem",1,"0.0025437525437525437%","ischemia",1,"0.0029787614309969915%","maher",1,"0.0016160310277957338%","clinicians",2,"0.0026100193476812452%","recurrent",2,"0.003292521449093565%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","moaning",1,"0.0025437525437525437%","beneficial",1,"0.0029787614309969915%","original",1,"0.0016160310277957338%","limitations",2,"0.002590045862197889%","supporting",2,"0.01617483495832062%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","screaming",1,"0.0025437525437525437%","neurotrophic",1,"0.0029787614309969915%","verbally",1,"0.0016160310277957338%","kinds",2,"0.0044692131021123235%","dedicated",2,"0.00879188152406571%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","calling",1,"0.0025437525437525437%","protection",1,"0.0029787614309969915%","conversational",1,"0.0016160310277957338%","experienced",2,"0.0033638299505554933%","readily",2,"0.011325621528873965%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","disturb",1,"0.0025437525437525437%","resultant",1,"0.0029787614309969915%","requesting",1,"0.0016160310277957338%","mask",2,"0.002736745821640032%","implementing",2,"0.009040104829764634%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","create",1,"0.0025437525437525437%","nearly",1,"0.0029787614309969915%","card",1,"0.0016160310277957338%","receipt",2,"0.001703603554079407%","administer",2,"0.008460424205669673%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feelings",1,"0.0025437525437525437%","negligible",1,"0.0029787614309969915%","description",1,"0.0016160310277957338%","captured",2,"0.007193692000115099%","youth-onset",2,"0.008544087491455913%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","efforts",1,"0.0025437525437525437%","representation",1,"0.0029787614309969915%","complying",1,"0.0016160310277957338%","high-risk",2,"0.002709531749352108%","age-similar",2,"0.008544087491455913%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ineffective",1,"0.0025437525437525437%","enter",1,"0.0029787614309969915%","request",1,"0.0016160310277957338%","worse",2,"0.0015463900478646694%","gm",2,"0.008544087491455913%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","comprising",1,"0.0025437525437525437%","backdrop",1,"0.0029787614309969915%","comprehension",1,"0.0016160310277957338%","suggesting",2,"0.0028566535107056048%","thickness",2,"0.008088691965261562%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feasible",1,"0.0025437525437525437%","lifespan",1,"0.0029787614309969915%","complexity",1,"0.0016160310277957338%","limitation",2,"0.0030939999440728278%","white",2,"0.008088691965261562%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","selected",1,"0.0025437525437525437%","exposures",1,"0.0029787614309969915%","throw",1,"0.0016160310277957338%","comprising",2,"0.0037761056704604177%","wm",2,"0.008544087491455913%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","continue",1,"0.0025437525437525437%","differing",1,"0.0029787614309969915%","you",1,"0.0016160310277957338%","vary",2,"0.0019900005178972694%","microstructure",2,"0.008088691965261562%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","three-year",1,"0.0025437525437525437%","influence",1,"0.0029787614309969915%","phrasal",1,"0.0016160310277957338%","whicap",2,"0.002520764800040332%","aphasia",2,"0.010288446897210183%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","solution",1,"0.0025437525437525437%","utilize",1,"0.0029787614309969915%","gains",1,"0.0016160310277957338%","ancestry",2,"0.0031662333624749026%","drawing",2,"0.006026090325508822%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","optimize",1,"0.0025437525437525437%","addresses",1,"0.0029787614309969915%","behaviors",1,"0.0016160310277957338%","750",2,"0.003783256388156416%","types",2,"0.00340988525736109%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","believe",1,"0.0025437525437525437%","52",1,"0.0029787614309969915%","supporting",1,"0.0016160310277957338%","repeat-dose",2,"0.0032133994398145338%","plausibly",2,"0.00340988525736109%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","justify",1,"0.0025437525437525437%","step",1,"0.0029787614309969915%","broad",1,"0.0016160310277957338%","labs",2,"0.0032133994398145338%","adjusted",2,"0.00340988525736109%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wider",1,"0.0025437525437525437%","toward",1,"0.0029787614309969915%","engagement",1,"0.0016160310277957338%","electrocardiograms",2,"0.0032133994398145338%","modalities",2,"0.00340988525736109%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","complemented",1,"0.0025437525437525437%","larger",1,"0.01303780964797914%","gv-971",1,"0.056022408963585436%","board",2,"0.0032133994398145338%","stemming",2,"0.00340988525736109%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","residents",1,"0.0025437525437525437%","disease-modifying",1,"0.01303780964797914%","salivary",1,"0.00364232380258605%","periodically",2,"0.0032133994398145338%","communicate",2,"0.00340988525736109%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","exhibit",1,"0.0025437525437525437%","builds",1,"0.01303780964797914%","correlating",1,"0.00364232380258605%","charter",2,"0.0032133994398145338%","personal",2,"0.00340988525736109%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","overmedication",1,"0.0025437525437525437%","inexpensively",1,"0.01303780964797914%","frame",1,"0.00364232380258605%","modulation",2,"0.004856401059161359%","proper",2,"0.00340988525736109%","","",""
