"2017","Num studies:1","","2019","Num studies:2","","2020","Num studies:3","","2021","Num studies:20","","2022","Num studies:79","","2023","Num studies:35","","2024","Num studies:3","","2025","Num studies:1",""
"","","","","","","","","","neutralized",1,"0.00505050505050505%","indicates",3,"0.003898138820559671%","difficult",1,"0.031397174254317116%","","","","","",""
"","","","","","","","","","return",1,"0.00505050505050505%","sometimes",3,"0.006524394966871893%","educates",1,"0.031397174254317116%","","","","","",""
"","","","","","","","","","repeat",1,"0.00505050505050505%","practices",3,"0.03721205648770931%","helps",1,"0.031397174254317116%","","","","","",""
"","","","","","","","","","verify",1,"0.00505050505050505%","unmet",3,"0.006564289428922143%","making",1,"0.031397174254317116%","","","","","",""
"","","","","","","","","","psychomotor",1,"0.00505050505050505%","possibility",3,"0.006352152210083509%","long-lasting",1,"0.031397174254317116%","","","","","",""
"","","","","","","","","","card",1,"0.00505050505050505%","cameras",3,"0.004502686644316852%","delay",1,"0.031397174254317116%","","","","","",""
"","","","","","","","","","back",1,"0.00505050505050505%","working",3,"0.006067798645019944%","weekly",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","open-ended",1,"0.00505050505050505%","machine",3,"0.010514745268582551%","evaluating",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","scaled",1,"0.00505050505050505%","validity",3,"0.011184638055227583%","trehalose",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","questions",1,"0.00505050505050505%","reliability",3,"0.011184638055227583%","ml",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","perceive",1,"0.00505050505050505%","hydrocephalus",3,"0.02534979779000757%","men",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","various",1,"0.00505050505050505%","sensitive",3,"0.019977542113221187%","50-85",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","areas",1,"0.00505050505050505%","influences",3,"0.006764304520969998%","biomarker-supported",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","completing",1,"0.00505050505050505%","influence",3,"0.007400873949201179%","guided",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","live",1,"0.019011406844106463%","gv-971",3,"0.021097046413502112%","institute",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","5-8",1,"0.019011406844106463%","dispute",3,"0.020092425155716295%","nia-aa",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","than",1,"0.019011406844106463%","skills",3,"0.011538097555959451%","framework",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","dramatic",1,"0.019011406844106463%","strategy",3,"0.014414115947489458%","75",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","persistent",1,"0.019011406844106463%","teams",3,"0.017096186316705966%","kg",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","impacting",1,"0.019011406844106463%","assessing",3,"0.0025562666845698576%","equivalent",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","loved",1,"0.019011406844106463%","non-aβ",3,"0.0033050203258750046%","sodium",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","ones",1,"0.019011406844106463%","dian-obs",3,"0.0033050203258750046%","chloride",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","become",1,"0.019011406844106463%","natural",3,"0.012303644988950606%","usp",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","informal",1,"0.019011406844106463%","dominantly",3,"0.0033050203258750046%","iv",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","services",1,"0.019011406844106463%","inherited",3,"0.0033050203258750046%","fixed",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","family",1,"0.019011406844106463%","international",3,"0.006199516301903813%","scheme",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","moment",1,"0.019011406844106463%","diad",3,"0.0033050203258750046%","permuted",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","do",1,"0.019011406844106463%","disease-causing",3,"0.0033050203258750046%","blocks",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","involve",1,"0.019011406844106463%","asymptomatic",3,"0.0033050203258750046%","equal",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","targeted",1,"0.019011406844106463%","unique",3,"0.01318969217769663%","tracers",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","kessler",1,"0.019011406844106463%","world",3,"0.0022539927726912675%","volumetric",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","coordinating",1,"0.019011406844106463%","constraints",3,"0.004920143381053739%","adl",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","center",1,"0.019011406844106463%","mutation-negative",3,"0.0033050203258750046%","terminate",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","franciscan",1,"0.019011406844106463%","upon",3,"0.006712144624401143%","specified",1,"0.00992063492063492%","","","","","",""
"","","","","","","","","","indiana",1,"0.019011406844106463%","periods",3,"0.010379164906897354%","2b",1,"0.024213075060532687%","","","","","",""
"","","","","","","","","","michigan",1,"0.019011406844106463%","titration",3,"0.0033050203258750046%","hand",1,"0.024213075060532687%","","","","","",""
"","","","","","","","","","partnering",1,"0.019011406844106463%","balance",3,"0.06579242254186694%","administration",1,"0.024213075060532687%","","","","","",""
"","","","","","","","","","respectively",1,"0.019011406844106463%","stimulator",3,"0.015888988930671043%","44",1,"0.024213075060532687%","","","","","",""
"","","","","","","","","","protocols",1,"0.019011406844106463%","turned",3,"0.015888988930671043%","pharmacological",1,"0.01129305477131564%","","","","","",""
"","","","","","","","","","harmonized",1,"0.019011406844106463%","off",3,"0.01534254222141516%","poor",1,"0.01129305477131564%","","","","","",""
"","","","","","","","","","unified",1,"0.019011406844106463%","head",3,"0.015888988930671043%","finding",1,"0.01129305477131564%","","","","","",""
"","","","","","","","","","goals",1,"0.019011406844106463%","norepinephrine",3,"0.015888988930671043%","non-pharmacological",1,"0.01129305477131564%","","","","","",""
"","","","","","","","","","online",1,"0.019011406844106463%","correlations",3,"0.034213861636801055%","impactful",1,"0.01129305477131564%","","","","","",""
"","","","","","","","","","self-efficacy",1,"0.019011406844106463%","invisible",3,"0.009662769349695623%","induce",1,"0.01129305477131564%","","","","","",""
"","","","","","","","","","neurobehavioral",1,"0.019011406844106463%","alternating",3,"0.02582490141674604%","holds",1,"0.01129305477131564%","","","","","",""
"","","","","","","","","","moderates",1,"0.019011406844106463%","gamma",3,"0.02582490141674604%","promise",1,"0.01129305477131564%","","","","","",""
"","","","","","","","","","burden",1,"0.019011406844106463%","condition",3,"0.010804705153249532%","instead",1,"0.01129305477131564%","","","","","",""
"","","","","","","","","","caregivers",1,"0.019011406844106463%","increasingly",3,"0.013650699514067954%","non-individualized",1,"0.01129305477131564%","","","","","",""
"","","","","","","","","","best",1,"0.019011406844106463%","guidelines",3,"0.012787319077080996%","intermittent",1,"0.01129305477131564%","","","","","",""
"","","","","","","","","","holistic",1,"0.019011406844106463%","recognized",3,"0.006604295672612872%","theta",1,"0.01129305477131564%","","","","","",""
"","","","","","","","","","approaches",1,"0.019011406844106463%","internationally",3,"0.012658227848101266%","burst",1,"0.01129305477131564%","","","","","",""
"","","","","","","","","","systems",1,"0.019011406844106463%","find",3,"0.010698828633441614%","double",1,"0.01129305477131564%","","","","","",""
"","","","","","","","","","adapted",1,"0.021739130434782608%","b-adl",3,"0.012658227848101266%","forty-five",1,"0.01129305477131564%","","","","","",""
"","","","","","","","","","organization",1,"0.021739130434782608%","telehealth",3,"0.017583065507447794%","allocated",1,"0.01129305477131564%","","","","","",""
"","","","","","","","","","calls",1,"0.021739130434782608%","brief",3,"0.007208887679106744%","sham",1,"0.01129305477131564%","","","","","",""
"","","","","","","","","","dementia-a",1,"0.021739130434782608%","13",3,"0.03452243958573072%","conventional",1,"0.01129305477131564%","","","","","",""
"","","","","","","","","","epidemic",1,"0.021739130434782608%","stable",3,"0.004762885574098129%","neuropsychological",1,"0.01129305477131564%","","","","","",""
"","","","","","","","","","non-pharmacological",1,"0.021739130434782608%","feeling",3,"0.00435473514241162%","discussion",1,"0.01129305477131564%","","","","","",""
"","","","","","","","","","recommended",1,"0.021739130434782608%","degenerative",3,"0.020261895678284753%","measurable",1,"0.01129305477131564%","","","","","",""
"","","","","","","","","","national",1,"0.021739130434782608%","resting",3,"0.018221593084865022%","representing",1,"0.01129305477131564%","","","","","",""
"","","","","","","","","","institute",1,"0.021739130434782608%","dysfunction",3,"0.008701383171082754%","regarding",1,"0.012586532410320955%","","","","","",""
"","","","","","","","","","excellence",1,"0.021739130434782608%","whose",3,"0.005801938860514594%","cognitive-training",1,"0.012586532410320955%","","","","","",""
"","","","","","","","","","little",1,"0.021739130434782608%","spouses",3,"0.010347325216431552%","remotely-assessed",1,"0.012586532410320955%","","","","","",""
"","","","","","","","","","guidance",1,"0.021739130434782608%","frontal",3,"0.013495573226585884%","chi",1,"0.012586532410320955%","","","","","",""
"","","","","","","","","","maximise",1,"0.021739130434782608%","attentional",3,"0.02966772151898734%","repeated",1,"0.012586532410320955%","","","","","",""
"","","","","","","","","","advanced",1,"0.021739130434782608%","initiated",3,"0.011646107660819227%","6-months",1,"0.012586532410320955%","","","","","",""
"","","","","","","","","","building",1,"0.021739130434782608%","elicits",3,"0.0017451600893521968%","eoad",1,"0.012586532410320955%","","","","","",""
"","","","","","","","","","upon",1,"0.021739130434782608%","circulating",3,"0.0017451600893521968%","short-",1,"0.012586532410320955%","","","","","",""
"","","","","","","","","","principles",1,"0.021739130434782608%","bout",3,"0.0017451600893521968%","characteristics",1,"0.012586532410320955%","","","","","",""
"","","","","","","","","","engagement",1,"0.021739130434782608%","differ",3,"0.0017451600893521968%","owing",1,"0.012586532410320955%","","","","","",""
"","","","","","","","","","communication",1,"0.021739130434782608%","own",3,"0.002958933371355545%","latter",1,"0.012586532410320955%","","","","","",""
"","","","","","","","","","32",1,"0.021739130434782608%","fasting",3,"0.004258361293822719%","sizes",1,"0.012586532410320955%","","","","","",""
"","","","","","","","","","randomly",1,"0.021739130434782608%","points",3,"0.0029345504848214752%","sample-size",1,"0.012586532410320955%","","","","","",""
"","","","","","","","","","usual",1,"0.021739130434782608%","facilitate",3,"0.002338587184274179%","magnitude",1,"0.012586532410320955%","","","","","",""
"","","","","","","","","","pre",1,"0.021739130434782608%","differences",3,"0.0021421897922035073%","effective",1,"0.01221001221001221%","","","","","",""
"","","","","","","","","","post",1,"0.021739130434782608%","clamp",3,"0.0017451600893521968%","disease-modifying",1,"0.01221001221001221%","","","","","",""
"","","","","","","","","","7-week",1,"0.021739130434782608%","successfully",3,"0.0025503402238900167%","gaining",1,"0.01221001221001221%","","","","","",""
"","","","","","","","","","vital",1,"0.021739130434782608%","creation",3,"0.002636568834547827%","attraction",1,"0.01221001221001221%","","","","","",""
"","","","","","","","","","because",1,"0.021739130434782608%","gov",3,"0.006180985984079606%","useful",1,"0.01221001221001221%","","","","","",""
"","","","","","","","","","projected",1,"0.021739130434782608%","beneficial",3,"0.0017451600893521968%","beneficial",1,"0.01221001221001221%","","","","","",""
"","","","","","","","","","reach",1,"0.021739130434782608%","rationale",3,"0.002966606419696517%","synergistic",1,"0.01221001221001221%","","","","","",""
"","","","","","","","","","152",1,"0.021739130434782608%","reduced",3,"0.005422342533838087%","proven",1,"0.01221001221001221%","","","","","",""
"","","","","","","","","","2050",1,"0.021739130434782608%","furthermore",3,"0.010015347645652931%","elucidated",1,"0.01221001221001221%","","","","","",""
"","","","","","","","","","excessive",1,"0.021739130434782608%","volume",3,"0.0017451600893521968%","herein",1,"0.01221001221001221%","","","","","",""
"","","","","","","","","","","","","lactic",3,"0.0017451600893521968%","acellular",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","remains",3,"0.0064420107002013186%","added",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","pyruvate",3,"0.0017451600893521968%","list",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","expression",3,"0.0017451600893521968%","immunizations",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","heavily",3,"0.004188052750040836%","welcome",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","relative",3,"0.006192191212226874%","invasive",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","much",3,"0.003369388576576824%","assesses",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","supply",3,"0.002339855287086836%","non-specific",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","longer",3,"0.014449233875478397%","immune",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","irisin",3,"0.0017451600893521968%","parameters",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","signaling",3,"0.0017451600893521968%","administer",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","quantify",3,"0.004188052750040836%","consistently",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","chat",3,"0.01110370863868532%","incident",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","go",3,"0.004853555543628039%","vaccinations",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","centella",3,"0.03112678979041295%","probes",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","asiatica",3,"0.03112678979041295%","databases",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","six",3,"0.01213246375129443%","coverage",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","pre",3,"0.019742192267796662%","routinely",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","highlight",3,"0.007663457030545638%","vaccines",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","tone",3,"0.005409499080385156%","qualify",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","contribution",3,"0.0035600335146184986%","frequency",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","ethnic",3,"0.006238781191122415%","consented",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","minorities",3,"0.006238781191122415%","pre-vaccine",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","yield",3,"0.005727704908643107%","bordetella",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","advance",3,"0.004262065424585112%","bacterium",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","standardized",3,"0.0077695256399649545%","whopping",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","starting",3,"0.018157031676618224%","cough",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","homes",3,"0.009284763702763765%","targets",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","regular",3,"0.015167309027446244%","infectious",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","vietnam",3,"0.009284763702763765%","trigger",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","introduce",3,"0.0042472405649875205%","determination",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","interested",3,"0.0067660021338756425%","infection",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","particularly",3,"0.006436450335783718%","igg",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","today",3,"0.006738724247662309%","pcr",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","irb",3,"0.006436450335783718%","nasal",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","variables",3,"0.002741177251543089%","swab",1,"0.009013068949977467%","","","","","",""
"","","","","","","","","","","","","unified",3,"0.0026353007317351696%","subcutaneously",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","rehabilitation",3,"0.0026353007317351696%","vivo",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","demographic",3,"0.007463729447794168%","vitro",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","rating",3,"0.0026353007317351696%","inhibits",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","suggestions",3,"0.003231264032282467%","neurotoxicity",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","ecosystem",3,"0.0026353007317351696%","apoptosis",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","simple",3,"0.002631008470130228%","production",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","complex",3,"0.0023330268198565795%","reactive",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","fixed",3,"0.0026353007317351696%","oxygen",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","interaction",3,"0.0026353007317351696%","species",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","location",3,"0.0024389033396644984%","beta",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","visual",3,"0.0020307529079779895%","stem",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","implement",3,"0.027837034756550135%","cells",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","regularly",3,"0.006753305104229069%","mimicking",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","cd",3,"0.00829141562102703%","extra-telomeric",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","loved",3,"0.006354791830583837%","telomerase",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","ones",3,"0.006354791830583837%","reverse",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","kansas",3,"0.005416782169420487%","transcriptase",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","city",3,"0.005416782169420487%","htert",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","barriers",3,"0.006849865019625651%","nonclinical",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","guides",3,"0.0035292456825561152%","late",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","discussion",3,"0.0035292456825561152%","mouse",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","email",3,"0.004362072970609039%","amount",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","recall",3,"0.003145035421624656%","multifunctional",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","allowing",3,"0.0023287345582516375%","makes",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","purposive",3,"0.0035292456825561152%","option",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","demographics",3,"0.0035480682046725846%","double-blinded",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","race",3,"0.0029289901204038763%","prospective",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","ethnicity",3,"0.0029289901204038763%","end-of-treatment",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","sent",3,"0.002736884989938147%","eot",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","prognostic",3,"0.001728478996099399%","give",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","screened",3,"0.001728478996099399%","consents",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","weekly",3,"0.017591576276318993%","49",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","compliance",3,"0.001728478996099399%","yet",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","sarver",3,"0.001728478996099399%","alternately",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","detail",3,"0.001728478996099399%","adjudication",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","icf",3,"0.001728478996099399%","eg",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","signed",3,"0.001728478996099399%","deterioration",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","locked",3,"0.0025447798594724173%","scans",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","pen",3,"0.001728478996099399%","discontinues",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","log",3,"0.001728478996099399%","prematurely",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","home-based",3,"0.005386479935362241%","drop-out",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","maintain",3,"0.005386479935362241%","28",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","4-month",3,"0.005386479935362241%","14-day",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","unobtrusive",3,"0.005386479935362241%","sib",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","widely",3,"0.010363403106167988%","sum",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","sensation",3,"0.0029529302911589267%","boxes",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","word-association",3,"0.0029529302911589267%","cdr-sob",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","pseudonymised",3,"0.0029529302911589267%","npi-q",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","behaviours",3,"0.006027727546714888%","cooperative",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","email-based",3,"0.010577152309952204%","adcs-adl-severe",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","genome",2,"0.00292675788395405%","effort",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","pathophysiological",2,"0.011352619448306138%","aes",1,"0.005065856129685917%","","","","","",""
"","","","","","","","","","","","","intestinal",2,"0.00292675788395405%","intranasal",1,"0.011614401858304297%","","","","","",""
"","","","","","","","","","","","","hence",2,"0.004684302058542232%","triple",1,"0.011614401858304297%","","","","","",""
"","","","","","","","","","","","","considered",2,"0.0020450989717610904%","placebo-control",1,"0.011614401858304297%","","","","","",""
"","","","","","","","","","","","","give",2,"0.0024476890390300004%","blinded",1,"0.011614401858304297%","","","","","",""
"","","","","","","","","","","","","considerable",2,"0.004684302058542232%","outside",1,"0.011614401858304297%","","","","","",""
"","","","","","","","","","","","","focused",2,"0.01183897553878134%","place",1,"0.011614401858304297%","","","","","",""
"","","","","","","","","","","","","pathogenesis",2,"0.0026089199237056466%","collecting",1,"0.011614401858304297%","","","","","",""
"","","","","","","","","","","","","reference",2,"0.004209198431803764%","though",1,"0.011614401858304297%","","","","","",""
"","","","","","","","","","","","","composition",2,"0.004684302058542232%","allopregnanolone",1,"0.01710863986313088%","","","","","",""
"","","","","","","","","","","","","metabolites",2,"0.006186598288283468%","restore",1,"0.01710863986313088%","","","","","",""
"","","","","","","","","","","","","divided",2,"0.006759708585534039%","integrity",1,"0.01710863986313088%","","","","","",""
"","","","","","","","","","","","","respective",2,"0.002857456898816371%","male",1,"0.01710863986313088%","","","","","",""
"","","","","","","","","","","","","abcb1",2,"0.00292675788395405%","female",1,"0.01710863986313088%","","","","","",""
"","","","","","","","","","","","","lpss",2,"0.00292675788395405%","apoe",1,"0.01710863986313088%","","","","","",""
"","","","","","","","","","","","","assessor",2,"0.00292675788395405%","ε4",1,"0.01710863986313088%","","","","","",""
"","","","","","","","","","","","","nature",2,"0.0032665453021054106%","probable",1,"0.01710863986313088%","","","","","",""
"","","","","","","","","","","","","explained",2,"0.002039538607343491%","55",1,"0.01710863986313088%","","","","","",""
"","","","","","","","","","","","","inclusion",2,"0.004558300176231613%","2-4-week",1,"0.01710863986313088%","","","","","",""
"","","","","","","","","","","","","finding",2,"0.0020450989717610904%","matching",1,"0.01710863986313088%","","","","","",""
"","","","","","","","","","","","","dna",2,"0.00292675788395405%","allocation",1,"0.01710863986313088%","","","","","",""
"","","","","","","","","","","","","pcr",2,"0.00292675788395405%","crossed-over",1,"0.01710863986313088%","","","","","",""
"","","","","","","","","","","","","assay",2,"0.002039538607343491%","sequential",1,"0.0816326530612245%","","","","","",""
"","","","","","","","","","","","","lps",2,"0.00737843868408042%","ascending",1,"0.0816326530612245%","","","","","",""
"","","","","","","","","","","","","corresponding",2,"0.0024476890390300004%","doses",1,"0.0816326530612245%","","","","","",""
"","","","","","","","","","","","","coupled",2,"0.002857456898816371%","aricept",1,"0.0816326530612245%","","","","","",""
"","","","","","","","","","","","","mass",2,"0.006427389862801051%","tablets",1,"0.0816326530612245%","","","","","",""
"","","","","","","","","","","","","first-in-human",2,"0.011942762795817281%","placed",1,"0.01156737998843262%","","","","","",""
"","","","","","","","","","","","","intravenous",2,"0.013721756979874756%","his",1,"0.01156737998843262%","","","","","",""
"","","","","","","","","","","","","ibc-ab002",2,"0.01375894331315355%","her",1,"0.01156737998843262%","","","","","",""
"","","","","","","","","","","","","sequential",2,"0.008888714172148404%","hours",1,"0.01156737998843262%","","","","","",""
"","","","","","","","","","","","","cumulative",2,"0.0077579052338218315%","morning",1,"0.01156737998843262%","","","","","",""
"","","","","","","","","","","","","activated",2,"0.006771420025329183%","round",1,"0.01156737998843262%","","","","","",""
"","","","","","","","","","","","","ab21004",2,"0.011251758087201125%","except",1,"0.01156737998843262%","","","","","",""
"","","","","","","","","","","","","adjunct",2,"0.011251758087201125%","pittsburgh",1,"0.01156737998843262%","","","","","",""
"","","","","","","","","","","","","capable",2,"0.007019957000439908%","index",1,"0.01156737998843262%","","","","","",""
"","","","","","","","","","","","","cns",2,"0.011251758087201125%","montreal",1,"0.01156737998843262%","","","","","",""
"","","","","","","","","","","","","concentration",2,"0.006207599073384628%","tailored",1,"0.01156737998843262%","","","","","",""
"","","","","","","","","","","","","types",2,"0.006207599073384628%","entrainment",1,"0.01156737998843262%","","","","","",""
"","","","","","","","","","","","","innate",2,"0.006771420025329183%","470",1,"0.01156737998843262%","","","","","",""
"","","","","","","","","","","","","spatial",2,"0.008377667706231271%","nanometers",1,"0.01156737998843262%","","","","","",""
"","","","","","","","","","","","","recovery",2,"0.00884680216016577%","630",1,"0.01156737998843262%","","","","","",""
"","","","","","","","","","","","","deterioration",2,"0.006504312620845619%","duty",1,"0.01156737998843262%","","","","","",""
"","","","","","","","","","","","","virtual",2,"0.009553379508000956%","cycle",1,"0.01156737998843262%","","","","","",""
"","","","","","","","","","","","","dome-shaped",2,"0.009553379508000956%","poisson",1,"0.01156737998843262%","","","","","",""
"","","","","","","","","","","","","projector",2,"0.009553379508000956%","sexual",1,"0.04081632653061225%","","","","","",""
"","","","","","","","","","","","","google",2,"0.009553379508000956%","gender",1,"0.04081632653061225%","","","","","",""
"","","","","","","","","","","","","street",2,"0.009553379508000956%","minority",1,"0.04081632653061225%","","","","","",""
"","","","","","","","","","","","","view",2,"0.009553379508000956%","supports",1,"0.04081632653061225%","","","","","",""
"","","","","","","","","","","","","eg",2,"0.006427045405643407%","workforce",1,"0.04081632653061225%","","","","","",""
"","","","","","","","","","","","","cg",2,"0.020213552983392266%","rigorously",1,"0.04081632653061225%","","","","","",""
"","","","","","","","","","","","","t2",2,"0.0057609998510534536%","waitlist",1,"0.04081632653061225%","","","","","",""
"","","","","","","","","","","","","mild-stage",2,"0.009553379508000956%","americans-especially",1,"0.007089684509039348%","","","","","",""
"","","","","","","","","","","","","modification",2,"0.006572183065787891%","income",1,"0.007089684509039348%","","","","","",""
"","","","","","","","","","","","","84mg",2,"0.009073998457420263%","urban",1,"0.007089684509039348%","","","","","",""
"","","","","","","","","","","","","112mg",2,"0.009073998457420263%","neighborhoods-",1,"0.007089684509039348%","","","","","",""
"","","","","","","","","","","","","425",2,"0.009073998457420263%","disparity",1,"0.007089684509039348%","","","","","",""
"","","","","","","","","","","","","sub-study",2,"0.009073998457420263%","attributable",1,"0.007089684509039348%","","","","","",""
"","","","","","","","","","","","","female",2,"0.010452058970813527%","insufficient",1,"0.007089684509039348%","","","","","",""
"","","","","","","","","","","","","85",2,"0.007288787891340841%","everyone",1,"0.007089684509039348%","","","","","",""
"","","","","","","","","","","","","nothing",2,"0.01562744178777934%","neuroprotection",1,"0.007089684509039348%","","","","","",""
"","","","","","","","","","","","","specify",2,"0.01562744178777934%","heterogeneity",1,"0.007089684509039348%","","","","","",""
"","","","","","","","","","","","","typically",2,"0.01562744178777934%","twice-weekly",1,"0.007089684509039348%","","","","","",""
"","","","","","","","","","","","","none",2,"0.01562744178777934%","cardio-dance",1,"0.007089684509039348%","","","","","",""
