"2010","Num studies:2","","2011","Num studies:4","","2012","Num studies:1","","2013","Num studies:1","","2014","Num studies:8","","2015","Num studies:6","","2016","Num studies:7","","2017","Num studies:14","","2018","Num studies:26","","2019","Num studies:28","","2020","Num studies:21","","2021","Num studies:18","","2022","Num studies:5",""
"","","","classification",1,"0.01490757304710793%","","","","","","","development",1,"0.048828125%","","","","","","","return",1,"0.032175032175032175%","yr",2,"0.02564102564102564%","satisfaction",2,"0.025797222579400796%","amygdala",1,"0.015213753232922561%","either",1,"0.019223375624759707%","final",1,"0.09803921568627451%"
"","","","physical",1,"0.01490757304710793%","","","","","","","overall",1,"0.03415300546448088%","","","","","","","assessments",1,"0.032175032175032175%","components",2,"0.02564102564102564%","quantitative",2,"0.023444902736748232%","habenula",1,"0.015213753232922561%","responds",1,"0.019223375624759707%","nia",1,"0.09803921568627451%"
"","","","75-90",1,"0.01490757304710793%","","","","","","","dwelling",1,"0.03415300546448088%","","","","","","","choice",1,"0.032175032175032175%","ambulatory",2,"0.02564102564102564%","programs",2,"0.010731398908558497%","structures",1,"0.015213753232922561%","differently",1,"0.019223375624759707%","consistent",1,"0.09803921568627451%"
"","","","minutes",1,"0.01490757304710793%","","","","","","","early-stage",1,"0.03415300546448088%","","","","","","","opting",1,"0.032175032175032175%","college",2,"0.02564102564102564%","address",2,"0.010731398908558497%","adrenal",1,"0.015213753232922561%","analyze",1,"0.05727376861397479%","approaches",1,"0.09803921568627451%"
"","","","4",1,"0.01490757304710793%","","","","","","","cope",1,"0.03415300546448088%","","","","","","","collection",1,"0.032175032175032175%","university",2,"0.02564102564102564%","live",2,"0.008962179602079226%","suggesting",1,"0.015213753232922561%","warning",1,"0.05727376861397479%","regular",1,"0.09803921568627451%"
"","","","78",1,"0.01490757304710793%","","","","","","","explored",1,"0.03415300546448088%","","","","","","","rest",1,"0.032175032175032175%","veterans",2,"0.046339202965708995%","independent",2,"0.008962179602079226%","beyond",1,"0.015213753232922561%","sent",1,"0.05727376861397479%","surveys",1,"0.09803921568627451%"
"","","","3mse",1,"0.01490757304710793%","","","","","","","sub-studies",1,"0.03415300546448088%","","","","","","","recordings",1,"0.032175032175032175%","significant",2,"0.03511417864482296%","assisted",2,"0.008962179602079226%","lifespan",1,"0.015213753232922561%","prescribing",1,"0.05727376861397479%","clients",1,"0.09803921568627451%"
"","","","triggered",1,"0.01490757304710793%","","","","","","","gaining",1,"0.03415300546448088%","","","","","","","sites",1,"0.032175032175032175%","answers",2,"0.046339202965708995%","residences",2,"0.008962179602079226%","notably",1,"0.015213753232922561%","antipsychotic",1,"0.05727376861397479%","proxies",1,"0.09803921568627451%"
"","","","either",1,"0.01490757304710793%","","","","","","","others",1,"0.03415300546448088%","","","","","","","ontario",1,"0.032175032175032175%","features",2,"0.05321767840593142%","very",2,"0.008962179602079226%","murine",1,"0.015213753232922561%","quetiapine",1,"0.05727376861397479%","e",1,"0.09803921568627451%"
"","","","questionnaire",1,"0.01490757304710793%","","","","","","","situation",1,"0.03415300546448088%","","","","","","","canada",1,"0.032175032175032175%","barriers",2,"0.03511417864482296%","times",2,"0.008962179602079226%","anti-ageing",1,"0.015213753232922561%","centers",1,"0.05727376861397479%","g",1,"0.09803921568627451%"
"","","","faq",1,"0.01490757304710793%","","","","","","","interactions",1,"0.03415300546448088%","","","","","","","effectiveness",1,"0.011614401858304297%","1-year",2,"0.028184143655154165%","get",2,"0.008962179602079226%","factor",1,"0.015213753232922561%","medicare",1,"0.05727376861397479%","family",1,"0.09803921568627451%"
"","","","instrument",1,"0.01490757304710793%","","","","","","","support",1,"0.03415300546448088%","","","","","","","theoretically-based",1,"0.011614401858304297%","research-based",2,"0.01823942797400422%","lost",2,"0.008962179602079226%","sex",1,"0.015213753232922561%","medicaid",1,"0.05727376861397479%","caregivers",1,"0.09803921568627451%"
"","","","available",1,"0.01490757304710793%","","","","","","","processes",1,"0.03415300546448088%","","","","","","","systematic",1,"0.011614401858304297%","sexual",2,"0.023889154323936932%","even",2,"0.007095605592714995%","hormones",1,"0.015213753232922561%","cms",1,"0.05727376861397479%","ongoing",1,"0.09803921568627451%"
"","","","upsa",1,"0.01490757304710793%","","","","","","","build",1,"0.03415300546448088%","","","","","","","pathway",1,"0.011614401858304297%","minority",2,"0.023889154323936932%","enhanced",2,"0.008962179602079226%","characterized",1,"0.015213753232922561%","2015",1,"0.05727376861397479%","tracking",1,"0.09803921568627451%"
"","","","performance-based",1,"0.01490757304710793%","","","","","","","originally",1,"0.03415300546448088%","","","","","","","information-sharing",1,"0.011614401858304297%","necessary",2,"0.041992654085045385%","location",2,"0.008962179602079226%","inflammation",1,"0.015213753232922561%","looks",1,"0.05727376861397479%","efforts",1,"0.09803921568627451%"
"","","","same",1,"0.01490757304710793%","","","","","","","developed",1,"0.03415300546448088%","","","","","","","stimulation",1,"0.011614401858304297%","cr",2,"0.023889154323936932%","tracker",2,"0.008962179602079226%","diminished",1,"0.015213753232922561%","de-prescribing",1,"0.05727376861397479%","nor",1,"0.09803921568627451%"
"","","","structured",1,"0.01490757304710793%","","","","","","","buettner",1,"0.03415300546448088%","","","","","","","establish",1,"0.011614401858304297%","institutionalization",2,"0.023889154323936932%","finally",2,"0.008962179602079226%","particularly",1,"0.015213753232922561%","antipsychotics",1,"0.05727376861397479%","activities",1,"0.09803921568627451%"
"","","","intervening",1,"0.01490757304710793%","","","","","","","fitzimmons",1,"0.03415300546448088%","","","","","","","practical",1,"0.011614401858304297%","hrqol",2,"0.023889154323936932%","further",2,"0.007095605592714995%","hypothalamus",1,"0.015213753232922561%","question",1,"0.05727376861397479%","integrated",1,"0.09803921568627451%"
"","","","brief",1,"0.01490757304710793%","","","","","","","2009",1,"0.03415300546448088%","","","","","","","way",1,"0.011614401858304297%","lgbt",2,"0.023889154323936932%","independence",2,"0.008962179602079226%","promote",1,"0.015213753232922561%","encouraging",1,"0.05727376861397479%","workflow",1,"0.09803921568627451%"
"","","","battery",1,"0.01490757304710793%","","","","","","","mind",1,"0.03415300546448088%","","","","","","","decrease",1,"0.011614401858304297%","adverse",2,"0.016959119334268136%","engagement",2,"0.007095605592714995%","regulation",1,"0.015213753232922561%","guideline-concordant",1,"0.05727376861397479%","involvement",1,"0.09803921568627451%"
"","","","3ms",1,"0.01490757304710793%","","","","","","","spirit",1,"0.03415300546448088%","","","","","","","avoidable",1,"0.011614401858304297%","cr-cg",2,"0.023889154323936932%","visual",2,"0.008962179602079226%","secretion",1,"0.015213753232922561%","physicians'",1,"0.05727376861397479%","collaborating",1,"0.09803921568627451%"
"","","","7",1,"0.01490757304710793%","","","","","","","consists",1,"0.03415300546448088%","","","","","","","unnecessary",1,"0.011614401858304297%","sharing",2,"0.01002908434459934%","spaced",2,"0.008962179602079226%","complex",1,"0.015213753232922561%","prescription",1,"0.05727376861397479%","outside",1,"0.09803921568627451%"
"","","","attend",1,"0.01490757304710793%","","","","","","","weekly",1,"0.03415300546448088%","","","","","","","rehospitalizations",1,"0.011614401858304297%","representations",2,"0.01002908434459934%","retrieval",2,"0.008962179602079226%","involves",1,"0.015213753232922561%","caused",1,"0.05727376861397479%","assist",1,"0.09803921568627451%"
"","","","tics",1,"0.01490757304710793%","","","","","","","2-hour",1,"0.03415300546448088%","","","","","","","long-stay",1,"0.011614401858304297%","trust",2,"0.01002908434459934%","signage",2,"0.008962179602079226%","hormonal",1,"0.015213753232922561%","unintended",1,"0.05727376861397479%","survey",1,"0.09803921568627451%"
"","","","phone",1,"0.01490757304710793%","","","","","","","groups",1,"0.03415300546448088%","","","","","","","nursing",1,"0.011614401858304297%","open",2,"0.01002908434459934%","make",2,"0.008962179602079226%","neuronal",1,"0.015213753232922561%","harms",1,"0.05727376861397479%","item",1,"0.09803921568627451%"
"","","","8",1,"0.01490757304710793%","","","","","","","facilitated",1,"0.03415300546448088%","","","","","","","admissions",1,"0.011614401858304297%","honest",2,"0.01002908434459934%","deficits",2,"0.022161429263557294%","input",1,"0.015213753232922561%","remote",1,"0.03607503607503607%","selection",1,"0.09803921568627451%"
"","","","initiates",1,"0.01490757304710793%","","","","","","","professional",1,"0.03415300546448088%","","","","","","","mitigating",1,"0.011614401858304297%","pretest",2,"0.01002908434459934%","persons",2,"0.025245209402368518%","prévot",1,"0.015213753232922561%","changing",1,"0.03607503607503607%","randomize",1,"0.09803921568627451%"
"","","","modality",1,"0.01490757304710793%","","","","","","","leaders",1,"0.03415300546448088%","","","","","","","times",1,"0.011614401858304297%","maker",2,"0.01002908434459934%","strategy",2,"0.007095605592714995%","explored",1,"0.015213753232922561%","unmet",1,"0.03607503607503607%","real-world",1,"0.09803921568627451%"
"","","","undergoes",1,"0.01490757304710793%","","","","","","","behaviours",1,"0.03415300546448088%","","","","","","","peers",1,"0.011614401858304297%","2-3",2,"0.01002908434459934%","maintain",2,"0.019809109420904726%","showed",1,"0.015213753232922561%","highly",1,"0.03607503607503607%","purposes",1,"0.09803921568627451%"
"","","","soon",1,"0.01490757304710793%","","","","","","","prevent",1,"0.03415300546448088%","","","","","","","traditionally",1,"0.011614401858304297%","engage",2,"0.01002908434459934%","complaint",2,"0.05714285714285715%","age-dependent",1,"0.015213753232922561%","prevalent",1,"0.03607503607503607%","analyze",1,"0.09803921568627451%"
"","","","interviewed",1,"0.01490757304710793%","","","","","","","later",1,"0.03415300546448088%","","","","","","","problem",1,"0.011614401858304297%","decision-making",2,"0.01002908434459934%","histological",2,"0.05714285714285715%","loss",1,"0.015213753232922561%","detrimental",1,"0.03607503607503607%","de-identified",1,"0.09803921568627451%"
"","","","adcs-",1,"0.01490757304710793%","","","","","","","includes",1,"0.03415300546448088%","","","","","","","led",1,"0.011614401858304297%","capacity",2,"0.01002908434459934%","knowledge",2,"0.031185944363103957%","recognize",1,"0.015213753232922561%","mortality",1,"0.03607503607503607%","disseminate",1,"0.09803921568627451%"
"","","","iadl",1,"0.01490757304710793%","","","","","","","nutrition",1,"0.03415300546448088%","","","","","","","little",1,"0.011614401858304297%","serious",2,"0.01002908434459934%","technique",2,"0.031185944363103957%","objects",1,"0.015213753232922561%","likelihood",1,"0.03607503607503607%","policy",1,"0.09803921568627451%"
"","","","9",1,"0.01490757304710793%","","","","","","","fitness",1,"0.03415300546448088%","","","","","","","paid",1,"0.011614401858304297%","experts",2,"0.011309392984335424%","pseudonymised",2,"0.030656039239730228%","anti-aging",1,"0.015213753232922561%","nursing",1,"0.03607503607503607%","outlets",1,"0.09803921568627451%"
"","","","subset",1,"0.01490757304710793%","","","","","","","stress",1,"0.03415300546448088%","","","","","","","combination",1,"0.011614401858304297%","field",2,"0.011309392984335424%","optical",2,"0.030656039239730228%","infusion",1,"0.015213753232922561%","previously",1,"0.03607503607503607%","contexts",1,"0.09803921568627451%"
"","","","non-dialysis",1,"0.01490757304710793%","","","","","","","reduction",1,"0.03415300546448088%","","","","","","","intrinsic",1,"0.011614401858304297%","did",2,"0.01002908434459934%","coherence",2,"0.030656039239730228%","leading",1,"0.015213753232922561%","remotely",1,"0.03607503607503607%","four-months",1,"0.041407867494824016%"
"","","","respective",1,"0.01490757304710793%","","","","","","","communication",1,"0.03415300546448088%","","","","","","","practices",1,"0.011614401858304297%","helpful",2,"0.01002908434459934%","tomography",2,"0.030656039239730228%","desensitization",1,"0.015213753232922561%","sensors",1,"0.03607503607503607%","least",1,"0.041407867494824016%"
"","","","4th",1,"0.01490757304710793%","","","","","","","coping",1,"0.03415300546448088%","","","","","","","restrict",1,"0.011614401858304297%","subtypes",2,"0.01258970162407151%","statistics",2,"0.030656039239730228%","were",1,"0.015213753232922561%","wearables",1,"0.03607503607503607%","fourth",1,"0.041407867494824016%"
"","","","6th",1,"0.01490757304710793%","","","","","","","strategies",1,"0.03415300546448088%","","","","","","","play",1,"0.011614401858304297%","transfer",2,"0.01258970162407151%","machine",2,"0.030656039239730228%","amazingly",1,"0.015213753232922561%","follows",1,"0.03607503607503607%","course",1,"0.041407867494824016%"
"","","","7th",1,"0.01490757304710793%","","","","","","","class",1,"0.03415300546448088%","","","","","","","provide",1,"0.011614401858304297%","figures",2,"0.01258970162407151%","learning",2,"0.030656039239730228%","but",1,"0.015213753232922561%","anomalies",1,"0.03607503607503607%","loneliness",1,"0.041407867494824016%"
"","","","8th",1,"0.01490757304710793%","","","","","","","session",1,"0.03415300546448088%","","","","","","","vital",1,"0.011614401858304297%","examined",2,"0.01258970162407151%","oct",2,"0.030656039239730228%","recover",1,"0.015213753232922561%","indicate",1,"0.03607503607503607%","completion",1,"0.041407867494824016%"
"","","","order",1,"0.01490757304710793%","","","","","","","received",1,"0.03415300546448088%","","","","","","","information",1,"0.011614401858304297%","good",2,"0.01258970162407151%","apnea",2,"0.03536067892503536%","refine",1,"0.0380952380952381%","unforeseen",1,"0.03607503607503607%","round",1,"0.041407867494824016%"
"","","","completed",1,"0.01490757304710793%","","","","","","","nametag",1,"0.03415300546448088%","","","","","","","motivation",1,"0.011614401858304297%","undiagnosed",2,"0.01258970162407151%","common",2,"0.020294855254193063%","adherence",1,"0.0380952380952381%","voluntarily",1,"0.03607503607503607%","improvements",1,"0.041407867494824016%"
"","","","in-between",1,"0.01490757304710793%","","","","","","","component",1,"0.03415300546448088%","","","","","","","assume",1,"0.011614401858304297%","nord-trøndelag",2,"0.01258970162407151%","cpap",2,"0.03536067892503536%","obstructive",1,"0.0380952380952381%","decide",1,"0.03607503607503607%","citizen",1,"0.041407867494824016%"
"","","","days",1,"0.01490757304710793%","","","","","","","educational",1,"0.03415300546448088%","","","","","","","responsibility",1,"0.011614401858304297%","trondheim",2,"0.01258970162407151%","cognition",2,"0.03536067892503536%","apnea",1,"0.0380952380952381%","participating",1,"0.03607503607503607%","advisors",1,"0.041407867494824016%"
"","","","thereafter",1,"0.01490757304710793%","","","","","","","method",1,"0.03415300546448088%","","","","","","","varying",1,"0.011614401858304297%","municipality",2,"0.01258970162407151%","major",2,"0.020294855254193063%","among",1,"0.0380952380952381%","sensor",1,"0.03607503607503607%","iterative",1,"0.041407867494824016%"
"","","","day",1,"0.01490757304710793%","","","","","","","contains",1,"0.03415300546448088%","","","","","","","degrees",1,"0.011614401858304297%","get",2,"0.01258970162407151%","barrier",2,"0.020294855254193063%","starting",1,"0.0380952380952381%","platform",1,"0.03607503607503607%","build",1,"0.041407867494824016%"
"","","","11",1,"0.01490757304710793%","","","","","","","dividers",1,"0.03415300546448088%","","","","","","","coordination",1,"0.011614401858304297%","lowering",2,"0.07396449704142012%","proven",2,"0.020294855254193063%","partners",1,"0.0380952380952381%","complete",1,"0.03607503607503607%","optimize",1,"0.041407867494824016%"
"","","","sodium",1,"0.01490757304710793%","","","","","","","modules",1,"0.03415300546448088%","","","","","","","ffc",1,"0.011614401858304297%","alters",2,"0.07396449704142012%","proportion",2,"0.03536067892503536%","3-session",1,"0.0380952380952381%","questionnaires",1,"0.03607503607503607%","ensure",1,"0.041407867494824016%"
"","","","potassium",1,"0.01490757304710793%","","","","","","","instructor",1,"0.03415300546448088%","","","","","","","incorporates",1,"0.011614401858304297%","pulsatility",2,"0.07396449704142012%","placement",2,"0.005229031583350764%","delivered",1,"0.0380952380952381%","regular",1,"0.03607503607503607%","accessibility",1,"0.041407867494824016%"
"","","","chloride",1,"0.01490757304710793%","","","","","","","taught",1,"0.03415300546448088%","","","","","","","educational",1,"0.011614401858304297%","communication",2,"0.06009615384615385%","occupational",2,"0.005229031583350764%","telehealth",1,"0.0380952380952381%","calls",1,"0.03607503607503607%","generated",1,"0.041407867494824016%"
"","","","carbon",1,"0.01490757304710793%","","","","","","","encouraged",1,"0.03415300546448088%","","","","","","","empowerment",1,"0.011614401858304297%","adapts",1,"0.056561085972850686%","build",2,"0.005229031583350764%","educational",1,"0.0380952380952381%","advancing",1,"0.0034357177214320075%","help",1,"0.041407867494824016%"
"","","","dioxide",1,"0.01490757304710793%","","","","","","","share",1,"0.03415300546448088%","","","","","","","social-ecological",1,"0.011614401858304297%","exam",1,"0.056561085972850686%","package",2,"0.005229031583350764%","based",1,"0.0380952380952381%","multicomponent",1,"0.0034357177214320075%","inform",1,"0.041407867494824016%"
"","","","anion",1,"0.01490757304710793%","","","","","","","provided",1,"0.03415300546448088%","","","","","","","framework",1,"0.011614401858304297%","take",1,"0.056561085972850686%","sustainability",2,"0.005229031583350764%","transdiagnostic",1,"0.0380952380952381%","video-conference",1,"0.0034357177214320075%","second",1,"0.041407867494824016%"
"","","","calcium",1,"0.01490757304710793%","","","","","","","quasi-experimental",1,"0.03415300546448088%","","","","","","","specialized",1,"0.011614401858304297%","mini-mental",1,"0.056561085972850686%","coalition",2,"0.005229031583350764%","circadian",1,"0.0380952380952381%","come",1,"0.0034357177214320075%","become",1,"0.041407867494824016%"
"","","","glucose",1,"0.01490757304710793%","","","","","","","multiple",1,"0.03415300546448088%","","","","","","","creates",1,"0.011614401858304297%","instrument",1,"0.056561085972850686%","building",2,"0.005229031583350764%","transs-c",1,"0.0380952380952381%","great",1,"0.0034357177214320075%","user-friendly",1,"0.041407867494824016%"
"","","","urea",1,"0.01490757304710793%","","","","","","","arranged",1,"0.03415300546448088%","","","","","","","enabling",1,"0.011614401858304297%","rating",1,"0.056561085972850686%","audit",2,"0.005229031583350764%","rooted",1,"0.0380952380952381%","in-person",1,"0.0034357177214320075%","accessible",1,"0.041407867494824016%"
"","","","nitrogen",1,"0.01490757304710793%","","","","","","","shortly",1,"0.03415300546448088%","","","","","","","milieu",1,"0.011614401858304297%","neuropsychiatric",1,"0.056561085972850686%","feedback",2,"0.005229031583350764%","idea",1,"0.0380952380952381%","show",1,"0.0034357177214320075%","audience",1,"0.041407867494824016%"
"","","","a1c",1,"0.01490757304710793%","","","","","","","proxy",1,"0.03415300546448088%","","","","","","","modification",1,"0.011614401858304297%","inventory",1,"0.056561085972850686%","approaches",2,"0.005229031583350764%","often",1,"0.0380952380952381%","facilitate",1,"0.0034357177214320075%","longitudinal",1,"0.041407867494824016%"
"","","","microalbumin",1,"0.01490757304710793%","","","","","","","qualitative",1,"0.03415300546448088%","","","","","","","education",1,"0.011614401858304297%","adjuvant",1,"0.056561085972850686%","administrative",2,"0.005229031583350764%","having",1,"0.0380952380952381%","management",1,"0.0034357177214320075%","inception",1,"0.041407867494824016%"
"","","","ratio",1,"0.01490757304710793%","","","","","","","moderate",1,"0.03415300546448088%","","","","","","","unit-based",1,"0.011614401858304297%","comprehensive",1,"0.021017234131988232%","supplement",2,"0.005229031583350764%","problems",1,"0.0380952380952381%","accomplish",1,"0.0034357177214320075%","cohort",1,"0.041407867494824016%"
"","","","lipid",1,"0.01490757304710793%","","","","","","","carried",1,"0.03415300546448088%","","","","","","","champions",1,"0.011614401858304297%","progression",1,"0.021017234131988232%","parent",2,"0.005229031583350764%","best",1,"0.0380952380952381%","recipients",1,"0.0034357177214320075%","exposed",1,"0.041407867494824016%"
"","","","biomarker",1,"0.01490757304710793%","","","","","","","out",1,"0.03415300546448088%","","","","","","","individualized",1,"0.011614401858304297%","early-stage",1,"0.021017234131988232%","addressing",2,"0.005229031583350764%","context",1,"0.0380952380952381%","8-week",1,"0.0034357177214320075%","four-month",1,"0.041407867494824016%"
"","","","plasma",1,"0.01490757304710793%","","","","","","","explore",1,"0.03415300546448088%","","","","","","","setting",1,"0.011614401858304297%","51",1,"0.021017234131988232%","500",2,"0.005229031583350764%","work",1,"0.01935733643050716%","g",1,"0.0034357177214320075%","utilize",1,"0.041407867494824016%"
"","","","cystatin",1,"0.01490757304710793%","","","","","","","in-session",1,"0.03415300546448088%","","","","","","","focuses",1,"0.011614401858304297%","17",1,"0.021017234131988232%","michigan",2,"0.005229031583350764%","base",1,"0.01935733643050716%","worker",1,"0.0034357177214320075%","pre-",1,"0.041407867494824016%"
"","","","tnfα",1,"0.01490757304710793%","","","","","","","social",1,"0.03415300546448088%","","","","","","","purposefully",1,"0.011614401858304297%","san",1,"0.021017234131988232%","did",2,"0.005229031583350764%","regarding",1,"0.01935733643050716%","late",1,"0.0034357177214320075%","post-",1,"0.041407867494824016%"
"","","","receptor-1",1,"0.01490757304710793%","","","","","","","interaction",1,"0.03415300546448088%","","","","","","","engage",1,"0.011614401858304297%","francisco",1,"0.021017234131988232%","instruction",2,"0.005229031583350764%","depression",1,"0.01935733643050716%","modify",1,"0.0034357177214320075%","collection",1,"0.041407867494824016%"
"","","","8-isoprostane",1,"0.01490757304710793%","","","","","","","capture",1,"0.03415300546448088%","","","","","","","60-day",1,"0.011614401858304297%","bay",1,"0.021017234131988232%","confidence",2,"0.005229031583350764%","anxiety",1,"0.01935733643050716%","introduction",1,"0.0034357177214320075%","quantitative",1,"0.041407867494824016%"
"","","","parathyroid",1,"0.01490757304710793%","","","","","","","motivational",1,"0.03415300546448088%","","","","","","","cluster",1,"0.011614401858304297%","receives",1,"0.021017234131988232%","provision",2,"0.005229031583350764%","relationships",1,"0.01935733643050716%","meaning",1,"0.0034357177214320075%","qualitative",1,"0.041407867494824016%"
"","","","hormone",1,"0.01490757304710793%","","","","","","","empowering",1,"0.03415300546448088%","","","","","","","438",1,"0.011614401858304297%","four",1,"0.021017234131988232%","nih",2,"0.005229031583350764%","impact",1,"0.01935733643050716%","evolving",1,"0.0034357177214320075%","actions",1,"0.041407867494824016%"
"","","","25-oh",1,"0.01490757304710793%","","","","","","","aspects",1,"0.03415300546448088%","","","","","","","units",1,"0.011614401858304297%","virtually",1,"0.021017234131988232%","34",2,"0.023378635393004284%","association",1,"0.01935733643050716%","grief",1,"0.0034357177214320075%","lifestyles",1,"0.041407867494824016%"
"","","","vitamin",1,"0.01490757304710793%","","","","","","","solanezumab",1,"0.09615384615384616%","","","","","","","hospitals",1,"0.011614401858304297%","zoom",1,"0.021017234131988232%","train",2,"0.005229031583350764%","efforts",1,"0.01935733643050716%","cardiovascular",1,"0.0034357177214320075%","hispanos",1,"0.041407867494824016%"
"","","","d",1,"0.01490757304710793%","","","","","","","slow",1,"0.09615384615384616%","","","","","","","73",1,"0.011614401858304297%","march",1,"0.021017234131988232%","rns",2,"0.005229031583350764%","reduce",1,"0.01935733643050716%","immune",1,"0.0034357177214320075%","y",1,"0.041407867494824016%"
"","","","glycation",1,"0.01490757304710793%","","","","","","","plaques",1,"0.09615384615384616%","","","","","","","per",1,"0.011614401858304297%","covid-19",1,"0.021017234131988232%","therapists",2,"0.005229031583350764%","described",1,"0.01935733643050716%","restorative",1,"0.0034357177214320075%","el",1,"0.041407867494824016%"
"","","","end",1,"0.01490757304710793%","","","","","","","evidence",1,"0.09615384615384616%","","","","","","","accomplish",1,"0.011614401858304297%","serve",1,"0.021017234131988232%","select",2,"0.005229031583350764%","through",1,"0.01935733643050716%","demands",1,"0.0034357177214320075%","alto",1,"0.041407867494824016%"
"","","","products",1,"0.01490757304710793%","","","","","","","build-up",1,"0.09615384615384616%","","","","","","","validate",1,"0.011614401858304297%","cross",1,"0.021017234131988232%","facilitators",2,"0.005229031583350764%","follow",1,"0.01935733643050716%","build",1,"0.0034357177214320075%","demencia",1,"0.041407867494824016%"
"","","","clusterin",1,"0.01490757304710793%","","","","","","","loss",1,"0.09615384615384616%","","","","","","","adls",1,"0.011614401858304297%","continue",1,"0.021017234131988232%","employees",2,"0.005229031583350764%","nord-trondelag",1,"0.01935733643050716%","geographic",1,"0.0034357177214320075%","halt-",1,"0.041407867494824016%"
"","","","asymmetric",1,"0.01490757304710793%","","","","","","","due",1,"0.09615384615384616%","","","","","","","cg-centered",1,"0.011614401858304297%","again",1,"0.021017234131988232%","age-in-place",2,"0.005229031583350764%","fulfils",1,"0.01935733643050716%","financial",1,"0.0034357177214320075%","novel",1,"0.041407867494824016%"
"","","","dimethylarginine",1,"0.01490757304710793%","","","","","","","yet",1,"0.09615384615384616%","","","","","","","preparedness",1,"0.011614401858304297%","learn",1,"0.007692307692307693%","fill",2,"0.005229031583350764%","key",1,"0.01935733643050716%","resources",1,"0.0034357177214320075%","bilingual",1,"0.041407867494824016%"
"","","","adma",1,"0.01490757304710793%","","","","","","","show",1,"0.09615384615384616%","","","","","","","institutionalize",1,"0.011614401858304297%","giving",1,"0.007692307692307693%","priority",2,"0.005229031583350764%","requirements",1,"0.01935733643050716%","making",1,"0.0034357177214320075%","reducing",1,"0.041407867494824016%"
"","","","in-",1,"0.01490757304710793%","","","","","","","symptoms",1,"0.09615384615384616%","","","","","","","relative",1,"0.011614401858304297%","proposing",1,"0.007692307692307693%","bathing",2,"0.005229031583350764%","population-representative",1,"0.01935733643050716%","had",1,"0.0034357177214320075%","ultimate",1,"0.041407867494824016%"
"","","","sample",1,"0.01490757304710793%","","","","","","","delay",1,"0.09615384615384616%","","","","","","","calculate",1,"0.011614401858304297%","harms",1,"0.007692307692307693%","iadl",2,"0.005229031583350764%","meeting",1,"0.01935733643050716%","good",1,"0.0034357177214320075%","preventing",1,"0.041407867494824016%"
"","","","remediate",1,"0.09057971014492754%","","","","","","","related",1,"0.09615384615384616%","","","","","","","utilization",1,"0.011614401858304297%","provider",1,"0.007692307692307693%","modifiable",2,"0.005229031583350764%","denominator",1,"0.01935733643050716%","acceptance",1,"0.0034357177214320075%","centered",1,"0.041407867494824016%"
"","","","progressive",1,"0.09057971014492754%","","","","","","","injury",1,"0.09615384615384616%","","","","","","","savings",1,"0.011614401858304297%","referred",1,"0.007692307692307693%","poor",2,"0.005229031583350764%","reasons",1,"0.01935733643050716%","individualized",1,"0.0034357177214320075%","web-based",1,"0.041407867494824016%"
"","","","aphasia",1,"0.09057971014492754%","","","","","","","","","","","","","","","","cultural",1,"0.011614401858304297%","third",1,"0.007692307692307693%","unsafe",2,"0.005229031583350764%","refusal",1,"0.01935733643050716%","counselors",1,"0.0034357177214320075%","dynamic",1,"0.041407867494824016%"
"","","","delay",1,"0.09057971014492754%","","","","","","","","","","","","","","","","appropriateness",1,"0.011614401858304297%","surveillance",1,"0.007692307692307693%","adl",2,"0.005229031583350764%","line",1,"0.01935733643050716%","group-based",1,"0.0034357177214320075%","guidance",1,"0.041407867494824016%"
"","","","further",1,"0.09057971014492754%","","","","","","","","","","","","","","","","fam-fcc",1,"0.011614401858304297%","ehr",1,"0.007692307692307693%","disabled",2,"0.005229031583350764%","options",1,"0.01935733643050716%","automated",1,"0.0034357177214320075%","modifiable",1,"0.041407867494824016%"
"","","","contains",1,"0.09057971014492754%","","","","","","","","","","","","","","","","diverse",1,"0.011614401858304297%","diagnoses",1,"0.007692307692307693%","aging-in-place",2,"0.005229031583350764%","localisation",1,"0.01935733643050716%","issues",1,"0.0034357177214320075%","treatable",1,"0.041407867494824016%"
"","","","prophylaxis",1,"0.09057971014492754%","","","","","","","","","","","","","","","","composed",1,"0.011614401858304297%","occurs",1,"0.007692307692307693%","low-income",2,"0.005229031583350764%","participation",1,"0.01935733643050716%","dysfunction",1,"0.0034357177214320075%","including",1,"0.041407867494824016%"
"","","","attempt",1,"0.09057971014492754%","","","","","","","","","","","","","","","","community-residing",1,"0.011614401858304297%","routine",1,"0.007692307692307693%","able",2,"0.005229031583350764%","station",1,"0.01935733643050716%","technology-based",1,"0.0034357177214320075%","cerebrovascular",1,"0.041407867494824016%"
"","","","strengthen",1,"0.09057971014492754%","","","","","","","","","","","","","","","","very",1,"0.011614401858304297%","short",1,"0.007692307692307693%","shower",2,"0.005229031583350764%","home",1,"0.01935733643050716%","personalized",1,"0.0034357177214320075%","sensory",1,"0.041407867494824016%"
"","","","neural",1,"0.09057971014492754%","","","","","","","","","","","","","","","","providing",1,"0.011614401858304297%","questionnaire",1,"0.007692307692307693%","bathroom",2,"0.005229031583350764%","nursing",1,"0.01935733643050716%","educational",1,"0.0034357177214320075%","loss",1,"0.041407867494824016%"
